DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,KAYAR,ECOLE 1,1,572.0,CLASSE CI
THIES,KAYAR,ECOLE 1,2,573.0,CLASSE CP
THIES,KAYAR,ECOLE 1,3,576.0,CLASSE CE1
THIES,KAYAR,ECOLE 1,4,574.0,CLASSE CE2
THIES,KAYAR,ECOLE 1,5,580.0,CLASSE CM1
THIES,KAYAR,ECOLE 1,6,573.0,CLASSE CM2
THIES,KAYAR,ECOLE 1,7,564.0,SALLE DE CLASSE
THIES,KAYAR,ECOLE 1,8,561.0,SALLE DE CLASSE
THIES,KAYAR,ECOLE 1,9,564.0,SALLE DE CLASSE
THIES,KAYAR,ECOLE 1,10,568.0,SALLE DE CLASSE
THIES,KAYAR,ECOLE 1,11,563.0,ABRI PROVISOIRE
THIES,KAYAR,ECOLE 1,12,569.0,SALLE DE CLASSE
THIES,KAYAR,ECOLE 2,1,579.0,CLASSE CP
THIES,KAYAR,ECOLE 2,2,583.0,CLASSE CE1
THIES,KAYAR,ECOLE 2,3,571.0,CLASSE CE2
THIES,KAYAR,ECOLE 2,4,576.0,CLASSE CM1
THIES,KAYAR,ECOLE 2,5,576.0,SALLE DE CLASSE
THIES,KAYAR,ECOLE 2,6,579.0,SALLE DE CLASSE
THIES,KAYAR,ECOLE 2,7,572.0,SALLE DE CLASSE
THIES,KAYAR,ECOLE 2,8,369.0,SALLE DE CLASSE
THIES,KAYAR,ECOLE KEUR ABDOU NDOYE,1,529.0,CLADDE CP
THIES,KAYAR,ECOLE KEUR ABDOU NDOYE,2,532.0,CLASSE CE1
THIES,KAYAR,ECOLE NDIOKHOPE GUEDJ,1,277.0,SALLE DE CLASSE
THIES,KAYAR,MBAOUANE,1,519.0,CLASSE CE2
THIES,KAYAR,MBAOUANE,2,214.0,SALLE DE CLASSE
