DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,KEUR MOUSSA,DARAL PEULH,1,245.0,CLASSE CI
THIES,KEUR MOUSSA,GAPPE,1,322.0,ABRI PROVISOIRE
THIES,KEUR MOUSSA,KATHIALIT,1,407.0,CLASSE CP
THIES,KEUR MOUSSA,KAYEL,1,487.0,CLASSE CI
THIES,KEUR MOUSSA,KESSOUKHAT,1,475.0,CLASSE CP
THIES,KEUR MOUSSA,KESSOUKHAT,2,474.0,CLASSE CE 1
THIES,KEUR MOUSSA,KEUR GUILAYE,1,594.0,CLASSE CE1
THIES,KEUR MOUSSA,KEUR MOUSSA,1,582.0,CLASSE CE1 A
THIES,KEUR MOUSSA,KEUR MOUSSA,2,581.0,CLASSE CI
THIES,KEUR MOUSSA,KEUR MOUSSA,3,581.0,CLASSE CP
THIES,KEUR MOUSSA,KEUR MOUSSA,4,579.0,CLASSE CM1 A
THIES,KEUR MOUSSA,KEUR MOUSSA,5,580.0,CLASSE CM2 B
THIES,KEUR MOUSSA,KEUR MOUSSA,6,576.0,CLASSE CM2 A
THIES,KEUR MOUSSA,KEUR MOUSSA,7,581.0,SALLE DE CLASSE
THIES,KEUR MOUSSA,KEUR MOUSSA,8,577.0,SALLE DE CLASSE
THIES,KEUR MOUSSA,KEUR MOUSSA,9,580.0,SALLE DE CLASSE
THIES,KEUR MOUSSA,KEUR SEGA,1,532.0,CLASSE CP
THIES,KEUR MOUSSA,KEUR SEGA,2,532.0,CLASSE CE1
THIES,KEUR MOUSSA,KEUR YAKHAM,1,551.0,CLASSE CI
THIES,KEUR MOUSSA,KEUR YAKHAM,2,299.0,SALLE DE CLASSE
THIES,KEUR MOUSSA,KHAYE SERERE,1,503.0,CLASSE CP
THIES,KEUR MOUSSA,KHININE,1,541.0,CLASSE CE1 A
THIES,KEUR MOUSSA,KHININE,2,103.0,SALLE DE CLASSE
THIES,KEUR MOUSSA,KHODEBA,1,551.0,CLASSE CM1
THIES,KEUR MOUSSA,KHODEBA,2,550.0,CLASSE CM2
THIES,KEUR MOUSSA,LANDOU,1,544.0,CLASSE CP
THIES,KEUR MOUSSA,LANDOU,2,169.0,SALLE DE CLASSE
THIES,KEUR MOUSSA,LELO SERERE,1,319.0,CLASSE CI
THIES,KEUR MOUSSA,LELO SERERE,2,318.0,CLASSE CP
THIES,KEUR MOUSSA,LENE,1,271.0,ABRI PROVISOIRE
THIES,KEUR MOUSSA,MBIRDIAM,1,565.0,CLASSE CM1
THIES,KEUR MOUSSA,MBIRDIAM,2,559.0,CLASSE CE2
THIES,KEUR MOUSSA,MBIRDIAM,3,111.0,SALLE DE CLASSE
THIES,KEUR MOUSSA,MBOUL,1,465.0,CLASSE CI
THIES,KEUR MOUSSA,MBOUL,2,466.0,CLASSE CP
THIES,KEUR MOUSSA,NDEUYE,1,304.0,CLASSE CE1
THIES,KEUR MOUSSA,NGOMENE,1,553.0,ABRI PROVISOIRE
THIES,KEUR MOUSSA,NIAKHIP,1,351.0,CLASSE CM1
THIES,KEUR MOUSSA,PALAL,1,325.0,CLASSE CE1
THIES,KEUR MOUSSA,PALAL,2,325.0,CLASSE CP
THIES,KEUR MOUSSA,POUYENNE,1,280.0,ABRI PROVISOIRE
THIES,KEUR MOUSSA,SAGNAFIL,1,460.0,ECOLE SAGNAFIL SALLE DE CLASSE
THIES,KEUR MOUSSA,SAGNAFIL,2,457.0,ECOLE SAGNAFIL SALLE DE CLASSE
THIES,KEUR MOUSSA,SAINT BENOIT,1,383.0,ABRI PROVISOIRE
THIES,KEUR MOUSSA,SANTHIE SERERE,1,365.0,ABRI PROVISOIRE
THIES,KEUR MOUSSA,SANTHIE SERERE,2,366.0,ABRI PROVISOIRE
THIES,KEUR MOUSSA,SEUNE OUOLOF,1,409.0,CLASSE CI
THIES,KEUR MOUSSA,SOUNE SERERE,1,428.0,CLASSE CM1 A
THIES,KEUR MOUSSA,SOUNE SERERE,2,428.0,CLASSE CM2 A
THIES,KEUR MOUSSA,TAGO 1,1,179.0,ABRI PROVISOIRE
THIES,KEUR MOUSSA,THIAMBOKH,1,447.0,CLASSE CI
THIES,KEUR MOUSSA,TOUGOUNY,1,272.0,SALLE DE CLASSE
THIES,KEUR MOUSSA,TOULY,1,596.0,CLASSE CE1
THIES,KEUR MOUSSA,TOULY,2,598.0,CLASSE CM1
THIES,KEUR MOUSSA,YADE,1,429.0,CLASSE CE1
