DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,NDIEYENE SIRAKH,DIOKOUL BANEKH,01,258,CLASSE CI
THIES,NDIEYENE SIRAKH,DIOKOUL DIALIGUE,01,485,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,DIOKOUL NDIONGUENE,01,248,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,DIOL NDIAYE,01,315,CLASSE CI
THIES,NDIEYENE SIRAKH,GOUYE KOULY,01,516,CLASSE CI
THIES,NDIEYENE SIRAKH,KABA,01,510,CLASSE CI
THIES,NDIEYENE SIRAKH,KABA,02,514,CLASSE C E 1
THIES,NDIEYENE SIRAKH,KABA,03,430,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,MBARDIACK,01,392,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,MBEOUANE,01,586,CLASSE CI
THIES,NDIEYENE SIRAKH,MBEOUANE BAFAYE,01,296,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,MBEOUANE THIATHIAO,01,555,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,MBEOUANE THIATHIAO,02,119,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,MBOULOUCTENE,01,431,CLASSE CI
THIES,NDIEYENE SIRAKH,NDIARGA,01,214,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,NDIE NGOM,01,423,CLASSE CI
THIES,NDIEYENE SIRAKH,NDIE NGOM,02,424,CLASSE CE1
THIES,NDIEYENE SIRAKH,NDIEYENE BACKO,01,187,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,NDIEYENE SIRAKH,01,591,CLASSE CP
THIES,NDIEYENE SIRAKH,NDIEYENE SIRAKH,02,591,CLASSE CI
THIES,NDIEYENE SIRAKH,NDIEYENE SIRAKH,03,592,CLASSE CE 1
THIES,NDIEYENE SIRAKH,NDIEYENE SIRAKH,04,592,SALLE DE CLASSE
THIES,NDIEYENE SIRAKH,NDIMB DIOL,01,207,ABRI PROVISOIRE
THIES,NDIEYENE SIRAKH,NDINGLER BALL,01,571,CLASSE CI 1
THIES,NDIEYENE SIRAKH,NDINGLER BALL,02,571,CLASSE CP
THIES,NDIEYENE SIRAKH,NDINGLER BALL,03,573,CLASSE CI
THIES,NDIEYENE SIRAKH,NDOUPH,01,514,CLASSE CI
THIES,NDIEYENE SIRAKH,NDOUPH,02,517,CLASSE CE1
THIES,NDIEYENE SIRAKH,NGOGOM,01,359,CLASSE CI
THIES,NDIEYENE SIRAKH,NGUIDIANE KHALY,01,310,CASE DE SANTE
THIES,NDIEYENE SIRAKH,THIANDIGUE,01,467,ABRI PROVISOIRE
