DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,NGOUNDIANE,DIACK MBAYENE,1,523.0,CLASSE CI
THIES,NGOUNDIANE,DIACK MBAYENE,2,294.0,SALLE DE CLASSE
THIES,NGOUNDIANE,DIACK MBODOKHANE,1,566.0,CLASSE CI
THIES,NGOUNDIANE,DIACK MBODOKHANE,2,556.0,CLASSE C E 1
THIES,NGOUNDIANE,DIACK MBODOKHANE,3,567.0,CLASSE CI 2
THIES,NGOUNDIANE,DIACK MBODOKHANE,4,551.0,SALLE DE CLASSE
THIES,NGOUNDIANE,DIACK NIONIOL,1,343.0,SALLE DE CLASSE
THIES,NGOUNDIANE,KAM DIACK,1,498.0,SALLE DE CLASSE
THIES,NGOUNDIANE,KAM DIACK,2,499.0,SALLE DE CLASSE
THIES,NGOUNDIANE,KEUR IBRA KANE,1,202.0,CLASSE CI
THIES,NGOUNDIANE,KHOURWA,1,282.0,CLASSE CP
THIES,NGOUNDIANE,MBROUVAILLE,1,584.0,CLASSE CI
THIES,NGOUNDIANE,MBROUVAILLE,2,578.0,CLASSE C E 1
THIES,NGOUNDIANE,MBROUVAILLE,3,580.0,CLASSE CE 2
THIES,NGOUNDIANE,MBROUVAILLE,4,239.0,SALLE DE CLASSE
THIES,NGOUNDIANE,NGOUDIANE DIOR,1,583.0,SALLE DE CLASSE
THIES,NGOUNDIANE,NGOUDIANE DIOR,2,586.0,SALLE DE CLASSE
THIES,NGOUNDIANE,NGOUDIANE DIOR,3,76.0,CLASSE CE2
THIES,NGOUNDIANE,NGOUDIANE SAMEL,1,439.0,CLASSE CI
THIES,NGOUNDIANE,NGOUDIANE SAMEL,2,440.0,SALLE DE CLASSE
THIES,NGOUNDIANE,NGOUNDIANE NIAKH,1,274.0,CLASSE CI
THIES,NGOUNDIANE,NGOUNDIANE PEYE,1,568.0,CLASSE CI
THIES,NGOUNDIANE,NGOUNDIANE PEYE,2,564.0,CLASSE CP
THIES,NGOUNDIANE,NGOUNDIANE PEYE,3,560.0,CLASSE CE 1
THIES,NGOUNDIANE,NGOUNDIANE PEYE,4,147.0,CLASSE CM1
THIES,NGOUNDIANE,SEO KHAYE,1,519.0,CLASSE CI
THIES,NGOUNDIANE,SEO KHAYE,2,536.0,CLASSE CP
THIES,NGOUNDIANE,SEO KHAYE,3,417.0,SALLE DE CLASSE
THIES,NGOUNDIANE,THIANGAYE,1,573.0,CLASSE CI
THIES,NGOUNDIANE,THIANGAYE,2,580.0,CLASSE CE 1
THIES,NGOUNDIANE,THIANGAYE,3,573.0,CLASSE CE 2
THIES,NGOUNDIANE,THIANGAYE,4,292.0,SALLE DE CLASSE
