DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,NOTTO,BABACK SERERE,1,509.0,CEM SALLE 1
THIES,NOTTO,BABACK SERERE,2,522.0,CEM SALLE 4
THIES,NOTTO,BABACK SERERE,3,445.0,CEM SALLE 7
THIES,NOTTO,CLASSE D ALPHABETISATION DE NDIRENE,1,409.0,CLASSE CP
THIES,NOTTO,CLASSE D ALPHABETISATION DE SESSENE,1,578.0,CLASSE D'ALPHABETISATION
THIES,NOTTO,DIASS PALAM,1,452.0,CLASSE CM1
THIES,NOTTO,DIOUNGANE,1,572.0,CLASSE CM1
THIES,NOTTO,DIOUNGANE,2,180.0,CLASSE CM2
THIES,NOTTO,HANENE,1,599.0,CLASSE CM1
THIES,NOTTO,HANENE,2,600.0,SALLE DE CLASSE
THIES,NOTTO,KEUR DIEUMBE NDIAYE,1,356.0,CLASSE CM2
THIES,NOTTO,KEUR DIEUMBE NDIAYE,2,357.0,CLASSE CI 1
THIES,NOTTO,KEUR IBRA FALL,1,564.0,CLASSE CE2
THIES,NOTTO,KEUR IBRA FALL,2,41.0,CLASSE CM1
THIES,NOTTO,KEUR MADORO NIANG,1,579.0,CLASSE CM1
THIES,NOTTO,KEUR MADORO NIANG,2,580.0,SALLE DE CLASSE
THIES,NOTTO,KEUR MAGUEYE NDAO,1,501.0,CLASSE CI
THIES,NOTTO,KEUR MATOURE GNING,1,402.0,ECOLE ELEMENTAIRE
THIES,NOTTO,KEUR SADARO FAM,1,560.0,CLASSE CI
THIES,NOTTO,KEUR SADARO FAM,2,495.0,SALLE DE CLASSE
THIES,NOTTO,KISSANE,1,515.0,CLASSE CM2
THIES,NOTTO,KISSANE,2,515.0,CLASSE CI
THIES,NOTTO,MANDAGRY TOUCOULEUR,1,155.0,ABRI PROVISOIRE
THIES,NOTTO,MANDANGRY OUOLOFF,1,196.0,CASE DE SANTE
THIES,NOTTO,MBAMBARA CHERIF,1,432.0,CLASSE CM2
THIES,NOTTO,MBODJENE,1,489.0,CLASSE CE1
THIES,NOTTO,MBOMBOYE,1,499.0,CLASSE CE2
THIES,NOTTO,MBOMBOYE,2,496.0,SALLE DE CLASSE
THIES,NOTTO,MBOUSNAKH NGATHIE,1,225.0,CLASSE CI
THIES,NOTTO,MBOUSNAKH NGOR,1,583.0,CLASSE CE2
THIES,NOTTO,NAFFAR,1,554.0,CLASSE CI
THIES,NOTTO,NAFFAR,2,161.0,CLASSE CM2
THIES,NOTTO,NDAKHAR MBAYE,1,188.0,ECOLE CLASSE CI
THIES,NOTTO,NDIOUKHANE SERERE,1,577.0,CLASSE CM2
THIES,NOTTO,NDIOUKHANE SERERE,2,98.0,CLASSE CE2
THIES,NOTTO,NGOLFAGNING,1,435.0,CLASSE CE2
THIES,NOTTO,NGOLLAR SERERE,1,588.0,CLASSE CP
THIES,NOTTO,NGOLLAR SERERE,2,585.0,CLASSE CM1
THIES,NOTTO,NGOLLAR SERERE,3,92.0,SALLE DE CLASSE
THIES,NOTTO,NOTTO,1,572.0,CLASSE CM1
THIES,NOTTO,NOTTO,2,570.0,CLASSE CP
THIES,NOTTO,PELEO SERERE,1,252.0,CLASSE CM2
THIES,NOTTO,POUT DIACK,1,549.0,CLASSE CP
THIES,NOTTO,POUT DIACK,2,537.0,CLASSE CM 2
THIES,NOTTO,POUT DIACK,3,299.0,CLASSE CI
THIES,NOTTO,SANGUE,1,553.0,CLASSE CM1
THIES,NOTTO,SANGUE,2,555.0,CLASSE CE2
THIES,NOTTO,SANGUE,3,558.0,CLASSE CM 2
THIES,NOTTO,SANGUE,4,203.0,SALLE DE CLASSE
THIES,NOTTO,TATENE MBAMBARA,1,553.0,ECOLE CLASSE CE2 A
THIES,NOTTO,TATENE MBAMBARA,2,144.0,ECOLE CLASSE CI
THIES,NOTTO,TATENE SERERE,1,591.0,CLASSE CE2
THIES,NOTTO,TATENE SERERE,2,573.0,CLASSE CP
THIES,NOTTO,TATENE SERERE,3,268.0,CLASSE CM1 A
THIES,NOTTO,THIEO,1,436.0,CLASSE CE2
