DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,THIES EST,CASE DES TOUT-PETIT,1,92.0,SALLE POLYVALENTE
THIES,THIES EST,C.E.M. DIAMAGUENE,1,508.0,SALLE S1
THIES,THIES EST,C.E.M. DIAMAGUENE,2,508.0,SALLE S2
THIES,THIES EST,C.E.M. DIAMAGUENE,3,507.0,SALLE S3
THIES,THIES EST,C.E.M. DIAMAGUENE,4,508.0,SALLE S4
THIES,THIES EST,C.E.M. DIAMAGUENE,5,508.0,SALLE 14
THIES,THIES EST,CENTRE CULTUREL LEO. S. SENGHOR,1,543.0,ABRI PROVISOIRE SALLE 1
THIES,THIES EST,CENTRE CULTUREL LEO. S. SENGHOR,2,547.0,ABRI PROVISOIRE SALLE 2
THIES,THIES EST,CENTRE CULTUREL LEO. S. SENGHOR,3,544.0,ABRI PROVISOIRE SALLE 4
THIES,THIES EST,CENTRE CULTUREL LEO. S. SENGHOR,4,534.0,ABRI PROVISOIRE SALLE 3
THIES,THIES EST,CENTRE CULTUREL LEO. S. SENGHOR,5,506.0,ABRI PROVISOIRE
THIES,THIES EST,CENTRE ENSEIGNEMENT PROFESSIONNEL,1,211.0,SALLE 1
THIES,THIES EST,CENTRE ENSEIGNEMENT PROFESSIONNEL,2,211.0,SALLE 2
THIES,THIES EST,CENTRE ENSEIGNEMENT PROFESSIONNEL,3,211.0,SALLE 3
THIES,THIES EST,CENTRE ENSEIGNEMENT PROFESSIONNEL,4,211.0,SALLE 4
THIES,THIES EST,CENTRE ENSEIGNEMENT PROFESSIONNEL,5,210.0,SALLE 5
THIES,THIES EST,CENTRE ENSEIGNEMENT PROFESSIONNEL,6,210.0,SALLE 7
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,1,552.0,CLASSE CI A
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,2,549.0,CLASSE CP A
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,3,551.0,CLASSE CE1 A
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,4,551.0,CLASSE CE2 A
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,5,549.0,CLASSE CM1 A
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,6,549.0,CLASSE CM2 A
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,7,549.0,CLASSE CI B
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,8,549.0,CLASSE CP B
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,9,549.0,CLASSE CE1 B
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,10,550.0,CLASSE CE2 B
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,11,549.0,CLASSE CM1 B
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,12,548.0,CLASSE CM 2 B
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,13,549.0,CLASSE CE1 C
THIES,THIES EST,ECOLE ABDOULAYE YAKHINE DIOP,14,550.0,CLASSE CE2 C
THIES,THIES EST,ECOLE ALY LO,1,584.0,CLASSE CI A
THIES,THIES EST,ECOLE ALY LO,2,587.0,CLASSE CP A
THIES,THIES EST,ECOLE ALY LO,3,587.0,CLASSE CE1 A
THIES,THIES EST,ECOLE ALY LO,4,587.0,CLASSE CE2 A
THIES,THIES EST,ECOLE ALY LO,5,588.0,CLASSE CM1 A
THIES,THIES EST,ECOLE ALY LO,6,583.0,CLASSE CM2 A
THIES,THIES EST,ECOLE ALY LO,7,587.0,CLASSE CP B
THIES,THIES EST,ECOLE ALY LO,8,586.0,CLASSE CE1 B
THIES,THIES EST,ECOLE ALY LO,9,587.0,CLASSE CE2 B
THIES,THIES EST,ECOLE ALY LO,10,587.0,CLASSE CM1 B
THIES,THIES EST,ECOLE ALY LO,11,586.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE ALY LO,12,583.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE ALY LO,13,586.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE ALY LO,14,585.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE ALY LO,15,584.0,SALLE INFORMATIQUE
THIES,THIES EST,ECOLE AYNINA FALL,1,571.0,CLASSE CP A
THIES,THIES EST,ECOLE AYNINA FALL,2,573.0,CLASSE CE1 A
THIES,THIES EST,ECOLE AYNINA FALL,3,574.0,CLASSE CM1 A
THIES,THIES EST,ECOLE AYNINA FALL,4,570.0,CLASSE CE1 B
THIES,THIES EST,ECOLE AYNINA FALL,5,573.0,CLASSE CE2 B
THIES,THIES EST,ECOLE AYNINA FALL,6,573.0,CLASSE CM1 B
THIES,THIES EST,ECOLE DAROU SALAM 1,1,585.0,CLASSE CI
THIES,THIES EST,ECOLE DAROU SALAM 1,2,590.0,CLASSE CP A
THIES,THIES EST,ECOLE DAROU SALAM 1,3,588.0,CLASSE CE1 A
THIES,THIES EST,ECOLE DAROU SALAM 1,4,581.0,CLASSE CM1 A
THIES,THIES EST,ECOLE DAROU SALAM 1,5,591.0,CLASSE CE2 A
THIES,THIES EST,ECOLE DAROU SALAM 1,6,589.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE DAROU SALAM 1,7,583.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE DAROU SALAM 1,8,589.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE DAROU SALAM 1,9,590.0,CLASSE CM1 B
THIES,THIES EST,ECOLE DAROU SALAM 1,10,387.0,SALLE DE CLASSE CI B
THIES,THIES EST,ECOLE DEMBA DIAKHATE,1,588.0,CLASSE CI A
THIES,THIES EST,ECOLE DEMBA DIAKHATE,2,581.0,CLASSE CP A
THIES,THIES EST,ECOLE DEMBA DIAKHATE,3,580.0,CLASSE CE2 A
THIES,THIES EST,ECOLE DEMBA DIAKHATE,4,583.0,CLASSE CM1 A
THIES,THIES EST,ECOLE DEMBA DIAKHATE,5,581.0,CLASSE CM2 A
THIES,THIES EST,ECOLE DEMBA DIAKHATE,6,583.0,CLASSE CP B
THIES,THIES EST,ECOLE DEMBA DIAKHATE,7,587.0,CLASSE CE1 B
THIES,THIES EST,ECOLE DEMBA DIAKHATE,8,581.0,CLASSE CE2 B
THIES,THIES EST,ECOLE DEMBA DIAKHATE,9,583.0,CLASSE CM1 B
THIES,THIES EST,ECOLE DEMBA DIAKHATE,10,582.0,CLASSE CM2 B
THIES,THIES EST,ECOLE DEMBA DIAKHATE,11,587.0,CLASSE CE1 A
THIES,THIES EST,ECOLE DEMBA DIAKHATE,12,583.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE DEMBA DIAKHATE,13,581.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE DEMBA DIAKHATE,14,583.0,SALLE DE CLASSE
THIES,THIES EST,ECOLE DEMBA DIAKHATE,15,582.0,ABRI PROVISOIRE
THIES,THIES EST,ECOLE DEMBA DIAKHATE,16,582.0,ABRI PROVISOIRE
THIES,THIES EST,ECOLE ELHADJ IBRAHIMA SARR,1,353.0,CLASSE CP A
THIES,THIES EST,ECOLE ELHADJ IBRAHIMA SARR,2,352.0,CLASSE CE2 A
THIES,THIES EST,ECOLE ELHADJ IBRAHIMA SARR,3,354.0,CLASSE CE1 B
