DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,THIES NORD,COMPLEXE SPORTIF DE MEDINA FALL,01,576,SALLE 1 BLOC ADMIN
THIES,THIES NORD,COMPLEXE SPORTIF DE MEDINA FALL,02,577,SALLE 2 BLOC ADMIN
THIES,THIES NORD,COMPLEXE SPORTIF DE MEDINA FALL,03,574,SALLE 3 BLOC ADMIN
THIES,THIES NORD,COMPLEXE SPORTIF DE MEDINA FALL,04,574,SALLE 1 BLOC GARDIEN
THIES,THIES NORD,COMPLEXE SPORTIF DE MEDINA FALL,05,574,VESTIAIRE 1
THIES,THIES NORD,COMPLEXE SPORTIF DE MEDINA FALL,06,574,VESTIAIRE 3
THIES,THIES NORD,COMPLEXE SPORTIF DE MEDINA FALL,07,573,VESTIAIRE 4
THIES,THIES NORD,DIASSAP,01,266,ABRI PROVISOIRE
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,01,573,ECOLE MOUSSA DIOUM CI A
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,02,567,ECOLE MOUSSA DIOUM CI B
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,03,571,ECOLE MOUSSA DIOUM CP A
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,04,574,ECOLE MOUSSA DIOUM CP B
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,05,568,ECOLE MOUSSA DIOUM CE 1 A
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,06,571,ECOLE MOUSSA DIOUM CE 1 B
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,07,561,ECOLE MOUSSA DIOUM
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,08,566,ECOLE MOUSSA DIOUM
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,09,573,ECOLE MOUSSA DIOUM
THIES,THIES NORD,DISPENSAIRE MUNICIPAL DIAKHAO,10,303,CLASSE CM1 B
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,01,589,CLASSE CI A
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,02,584,ABRI PROVISOIRE CP A
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,03,590,CLASSE C1 A
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,04,589,CLASSE CE2 A
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,05,589,CLASSE CM1 A
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,06,589,CLASSE CM2 A
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,07,585,CLASSE CI B
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,08,587,CLASSE CP B
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,09,586,CLASSE C1 B
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,10,586,CLASSE CE2 B
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,11,587,CLASSE CM1 B
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,12,587,CLASSE CM2 B
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,13,586,ABRI PROVISOIRE
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,14,581,ABRI PROVISOIRE
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,15,588,ABRI PROVISOIRE
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,16,584,ABRI PROVISOIRE
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,17,587,ABRI PROVISOIRE
THIES,THIES NORD,ECOLE CHEIKH IBRA FALL,18,585,ABRI PROVISOIRE
THIES,THIES NORD,ECOLE CHEIKH SOULEYMANE DIOUF,01,578,CLASSE CI A
THIES,THIES NORD,ECOLE CHEIKH SOULEYMANE DIOUF,02,577,CLASSE CP A
THIES,THIES NORD,ECOLE CHEIKH SOULEYMANE DIOUF,03,579,CLASSE CE1 A
THIES,THIES NORD,ECOLE CHEIKH SOULEYMANE DIOUF,04,576,CLASSE CE2 A
THIES,THIES NORD,ECOLE CHEIKH SOULEYMANE DIOUF,05,578,CLASSE CM1 A
THIES,THIES NORD,ECOLE CHEIKH SOULEYMANE DIOUF,06,579,CLASSE CP B
THIES,THIES NORD,ECOLE CHEIKH SOULEYMANE DIOUF,07,577,CLASSE CM1 B
THIES,THIES NORD,ECOLE CHEIKH SOULEYMANE DIOUF,08,578,CLASSE CM2 A
THIES,THIES NORD,ECOLE ELHADJ AMADOU BARRO NDIEGUENE,01,567,CLASSE CI
THIES,THIES NORD,ECOLE ELHADJ AMADOU BARRO NDIEGUENE,02,567,CLASSE CE1
THIES,THIES NORD,ECOLE ELHADJ AMADOU BARRO NDIEGUENE,03,561,CLASSE CM1
THIES,THIES NORD,ECOLE ELHADJ AMADOU BARRO NDIEGUENE,04,566,CLASSE CP B
THIES,THIES NORD,ECOLE ELHADJ AMADOU BARRO NDIEGUENE,05,563,CLASSE CE1 B
THIES,THIES NORD,ECOLE ELHADJ AMADOU BARRO NDIEGUENE,06,568,CLASSE CE2 B
THIES,THIES NORD,ECOLE ELHADJ AMADOU BARRO NDIEGUENE,07,565,CLASSE CM1 B
THIES,THIES NORD,ECOLE ELHADJ AMADOU BARRO NDIEGUENE,08,566,SALLE DE CLASSE
THIES,THIES NORD,ECOLE ELHADJ AMADOU BARRO NDIEGUENE,09,524,SALLE DE CLASSE
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,01,574,CLASSE CI A
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,02,580,CLASSE CP A
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,03,576,CLASSE CE1 A
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,04,574,CLASSE CE2 A
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,05,578,CLASSE CM1 A
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,06,576,CLASSE CI B
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,07,566,CLASSE CP B
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,08,571,CLASSE CE1 B
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,09,570,CLASSE CM1 B
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,10,572,CLASSE CE2 B
THIES,THIES NORD,ECOLE ELHADJ MOUNDIAYE THIAW,11,485,SALLE DE CLASSE
THIES,THIES NORD,ECOLE GABRIEL NDIONE,01,572,CLASSE CI A
THIES,THIES NORD,ECOLE GABRIEL NDIONE,02,573,CLASSE CP A
THIES,THIES NORD,ECOLE GABRIEL NDIONE,03,570,CLASSE CE1 A
THIES,THIES NORD,ECOLE GABRIEL NDIONE,04,572,CLASSE CE2 A
