DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,THIES OUEST,CONTRIBUTIONS DIRECTES,01,224,POSTE RANDOULENE NORD
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,01,580,CLASSE CI A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,02,581,CLASSE CP A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,03,580,CLASSE CE1 A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,04,582,CLASSE CE2 A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,05,580,CLASSE C M 1 A
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,06,580,CLASSE C E 2 B
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,07,580,CLASSE CM1 B
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,08,582,CLASSE CE2 C
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,09,581,CM1 C
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,10,579,CLASSE CP B
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,11,579,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,12,583,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,13,580,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,14,580,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,15,583,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,16,582,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE CLUB 2/3 ADAUA,17,581,SALLE DE CLASSE
THIES,THIES OUEST,ECOLE ELHADJ ABDEL KADER NDIAYE,01,162,CLASSE CP A
THIES,THIES OUEST,ECOLE ELHADJ ABDEL KADER NDIAYE,02,162,CLASSE CE2 A
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,01,574,CLASSE CI
THIES,THIES OUEST,ECOLE ELHADJ ALY BA,02,572,CLASSE CP
