DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
THIES,TOUBA TOUL,BANGOUR,01,490,SALLE DE CLASSE
THIES,TOUBA TOUL,BOKH,01,256,CLASSE CI
THIES,TOUBA TOUL,DOUDOUL,01,487,CLASSE CI
THIES,TOUBA TOUL,GADE KHAYE,01,443,CLASSE CI
THIES,TOUBA TOUL,GADE KHAYE,02,443,CLASSE
THIES,TOUBA TOUL,KEUR DIOMAYE,01,187,SALLE DE CLASSE
THIES,TOUBA TOUL,KEUR IBRA GUEYE,01,495,CLASSE CI
THIES,TOUBA TOUL,KEUR LAMANE,01,558,LYCEE ( SALLE DE CLASSE )
THIES,TOUBA TOUL,KEUR LAMANE,02,554,LYCEE ( SALLE DE CLASSE )
THIES,TOUBA TOUL,KEUR LAMANE,03,551,LYCEE ( SALLE DE CLASSE )
THIES,TOUBA TOUL,KEUR LAMANE,04,252,LYCEE ( SALLE DE CLASSE )
THIES,TOUBA TOUL,KEUR MACOUMBA GUEYE,01,217,ABRI PROVISOIRE
THIES,TOUBA TOUL,KEUR MADIA NIANG,01,396,CASE DE SANTE
THIES,TOUBA TOUL,KEUR MADIOP SAMB,01,127,SALLE DE CLASSE
THIES,TOUBA TOUL,KEUR MAMOUR NGONE,01,331,ABRI PROVISOIRE
THIES,TOUBA TOUL,KEUR MBAYE SALL,01,204,MAGASIN CEREALIER
THIES,TOUBA TOUL,KEUR NDIAGA SARR,01,307,CLASSE CI
THIES,TOUBA TOUL,KEUR THIAPH,01,588,CLASSE CE 1
THIES,TOUBA TOUL,KEUR THIAPH,02,588,CLASSE CI
THIES,TOUBA TOUL,KEUR YORO SOPHIE,01,203,MAGASIN CEREALIER
THIES,TOUBA TOUL,MBAMPANA,01,584,CLASSE CI
THIES,TOUBA TOUL,MBOLTOGNE,01,188,ABRI PROVISOIRE
THIES,TOUBA TOUL,MBOSS,01,399,CLASSE CI
THIES,TOUBA TOUL,NAKH NEKH,01,240,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDADEL,01,229,SALLE DE CLASSE
THIES,TOUBA TOUL,NDIABAKHALY,01,240,CLASSE CI
THIES,TOUBA TOUL,NDIAKHATIL MARAM,01,260,CLASSE CI
THIES,TOUBA TOUL,NDIAKHOU,01,439,CLASSE CI
THIES,TOUBA TOUL,NDIANDIAR,01,176,CASE DE SANTE
THIES,TOUBA TOUL,NDIAWRIGNE,01,232,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDIEFOUGNE PALL,01,388,CLASSE CI
THIES,TOUBA TOUL,NDIEFOUGNE PARBA,01,594,SALLE DE CLASSE
THIES,TOUBA TOUL,NDIEFOUGNE PARBA,02,27,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDIENENE,01,235,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDIERY MBENGUE,01,151,ABRI  PROVISOIRE
THIES,TOUBA TOUL,NDIOBEL NGAYENE,01,228,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDIOKOUL ALY NGONE,01,121,SALLE DE CLASSE
THIES,TOUBA TOUL,NDIONE,01,299,ABRI PROVISOIRE
THIES,TOUBA TOUL,NDONDOL,01,559,SALLE DE CLASSE
THIES,TOUBA TOUL,NDONDOL,02,323,SALLE DE CLASSE
THIES,TOUBA TOUL,NDOUCOUMANE,01,593,CLASSE CI
THIES,TOUBA TOUL,NEOURANE,01,559,CLASSE CI
THIES,TOUBA TOUL,NEOURANE,02,228,SALLE DE CLASSE
THIES,TOUBA TOUL,NGASS SERERE,01,166,SALLE DE CLASSE
THIES,TOUBA TOUL,NGHASS,01,238,CLASSE CI
THIES,TOUBA TOUL,NGOUGOUSSE,01,145,ABRI PROVISOIRE
THIES,TOUBA TOUL,NIANGUE DAKHAR,01,111,CASE DE SANTE
THIES,TOUBA TOUL,PIROUNDARY,01,545,CLASSE CI
THIES,TOUBA TOUL,PIROUNDARY,02,300,SALLE DE CLASSE
THIES,TOUBA TOUL,SAMEL NDOUR,01,290,CLASSE CI
THIES,TOUBA TOUL,SINDIAN 2,01,230,SALLE DE CLASSE
THIES,TOUBA TOUL,SINDIANE 1,01,562,CLASSE CI
THIES,TOUBA TOUL,SINDIANE 1,02,361,SALLE DE CLASSE
THIES,TOUBA TOUL,SOTHIAN,01,130,ABRI PROVISOIRE
THIES,TOUBA TOUL,THIAREME,01,211,CLASSE CI
THIES,TOUBA TOUL,THIAR FIAYE,01,321,CLASSE CI
THIES,TOUBA TOUL,THIATHIAO,01,561,ABRI PROVISOIRE
THIES,TOUBA TOUL,THIATHIAO,02,273,ABRI PROVISOIR
THIES,TOUBA TOUL,THILLA BOUBOU,01,500,CLASSE CI
THIES,TOUBA TOUL,THILLA OUNTE,01,414,CLASSE CI
THIES,TOUBA TOUL,TOUBA TOUL,01,486,CLASSE CE 1
THIES,TOUBA TOUL,TOUBA TOUL,02,488,CLASSE CI
THIES,TOUBA TOUL,TOUBA TOUL,03,488,SALLE DE CLASSE
