DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,CHERIF LO,BALIGA,1,564.0,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,BALIGA,2,562.0,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,CHERIF LO,1,533.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
TIVAOUANE,CHERIF LO,CHERIF LO,2,540.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
TIVAOUANE,CHERIF LO,CHERIF LO,3,348.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
TIVAOUANE,CHERIF LO,KEUR AMARY COUMBA,1,404.0,ECOLE
TIVAOUANE,CHERIF LO,KEUR KHALY SARATA,1,388.0,ECOLE
TIVAOUANE,CHERIF LO,KEUR KHALY SOKHNA,1,358.0,ECOLE
TIVAOUANE,CHERIF LO,KEUR MAGUEYE,1,324.0,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,KEUR MAGUEYE NDAO,1,365.0,ECOLE
TIVAOUANE,CHERIF LO,KEUR THIONE SARR,1,479.0,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,KEUR THIONE SARR,2,478.0,ECOLE ELEMENTAIRE
TIVAOUANE,CHERIF LO,MBENGUENE,1,424.0,ECOLE
TIVAOUANE,CHERIF LO,NDIAKHATE AMAR,1,215.0,ABRI  PROVISOIRE
TIVAOUANE,CHERIF LO,NDIAKHATE NDIASSANE,1,530.0,ECOLE SALLE 1
TIVAOUANE,CHERIF LO,NDIAKHATE NDIASSANE,2,529.0,ECOLE SALLE 2
TIVAOUANE,CHERIF LO,NDIAKHATE NDIASSANE,3,526.0,ECOLE SALLE 3
TIVAOUANE,CHERIF LO,NDIASSANE,1,539.0,ECOLE SALLE 1
TIVAOUANE,CHERIF LO,NDIASSANE,2,532.0,ECOLE SALLE 2
TIVAOUANE,CHERIF LO,NDIASSANE,3,539.0,ECOLE SALLE 3
TIVAOUANE,CHERIF LO,NDIASSANE,4,538.0,ECOLE SALLE 4
TIVAOUANE,CHERIF LO,NDIASSANE,5,347.0,SALLE DE CLASSE
TIVAOUANE,CHERIF LO,NIAKHA,1,117.0,ABRI PROVISOIRE
TIVAOUANE,CHERIF LO,THIAFATHIE,1,530.0,ABRI PROVISOIRE
TIVAOUANE,CHERIF LO,THIAFATHIE,2,108.0,ABRI PROVISOIRE
TIVAOUANE,CHERIF LO,THIAOUNE SERERE,1,383.0,ABRI PROVISOIRE
