DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,DAROU KHOUDOSS,ANDAL 1,01,540,SALLES DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,ANDAL 1,02,538,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,ANDAL 2,01,378,ABRI PROVISOIRE 1
TIVAOUANE,DAROU KHOUDOSS,ANDAL 2,02,376,ABRI PROVISOIRE 2
TIVAOUANE,DAROU KHOUDOSS,DAROU FALL,01,562,MAGASIN DISPENSAIRE
TIVAOUANE,DAROU KHOUDOSS,DAROU FALL,02,569,SALLES DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,DAROU FALL,03,554,SALLES DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,DAROU FALL,04,233,ECOLE DAROU FALL SALLE 4
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,01,553,SALLE DE CLASSE ECOLE DAROU 1
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,02,554,SALLES DE CLASSE ECOLE DAROU 2
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,03,555,SALLES DE CLASSE ECOLE DAROU 3
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,04,553,SALLES DE CLASSE ECOLE DAROU 4
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,05,554,SALLE DE CLASSE ECOLE DAROU 5
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,06,553,SALLES DE CLASSE ECOLE DAROU 6
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,07,554,ECOLE ELEMENTAIRE
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,08,555,ECOLE ELEMENTAIRE
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,09,555,ECOLE DAROU KHOUDOSS SALLE CLA
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,10,552,CE2B ECOLE DAROU
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,11,551,CM2A ECOLE DAROU
TIVAOUANE,DAROU KHOUDOSS,DAROU KHOUDOSS,12,550,ECOLE DAROU KHOUDOSS SALLE 12
TIVAOUANE,DAROU KHOUDOSS,DIAMBALLO,01,441,MATERNITE RURALE
TIVAOUANE,DAROU KHOUDOSS,DIAMBALLO,02,440,ABRI PROVISOIRE 1
TIVAOUANE,DAROU KHOUDOSS,DIOGO,01,500,ABRI PROVISOIRE 1
TIVAOUANE,DAROU KHOUDOSS,DIOGO,02,500,MAGASIN MARCHE
TIVAOUANE,DAROU KHOUDOSS,DIOGO,03,499,ABRI PROVISOIRE 2
TIVAOUANE,DAROU KHOUDOSS,DIOGO,04,501,ABRI PROVISOIRE 3
TIVAOUANE,DAROU KHOUDOSS,ECOLE ARABE SANTHIOU SINE,01,116,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,ECOLE ELEMENTAIRE TANIME,01,409,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,ECOLE KEUR MOR FALL,01,247,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,ECOLE THIOKHMATE,01,94,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,01,563,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,02,556,SALLE DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,03,567,SALLE DE CLASSE 3
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,04,561,SALLE DE CLASSE 4
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,05,557,SALLE DE CLASSE 5
TIVAOUANE,DAROU KHOUDOSS,FASS BOYE,06,354,ECOLE FASS BOYE SALLE 6
TIVAOUANE,DAROU KHOUDOSS,FOOT,01,447,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,KEUR BAKARY SARR,01,318,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,KEUR KHAR MBAYE,01,97,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,KHONKYOE,01,471,ECOLE
TIVAOUANE,DAROU KHOUDOSS,KHONKYOE,02,223,ECOLE KHONKH YOYE SALLE 2
TIVAOUANE,DAROU KHOUDOSS,MBETETE 1,01,479,ABRI PROVISOIRE
TIVAOUANE,DAROU KHOUDOSS,MBORO KHONDIO,01,587,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,MBORO KHONDIO,02,43,SALLE DE CLASSE
TIVAOUANE,DAROU KHOUDOSS,MBORO NDEUNDECATT,01,477,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,MBORO NDEUNDECATT,02,475,SALLES DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,MBORO TOTAL,01,436,SALLE DE CLASSE 1
TIVAOUANE,DAROU KHOUDOSS,MBORO TOTAL,02,437,SALLE DE CLASSE 2
TIVAOUANE,DAROU KHOUDOSS,NDIANGUE WADE,01,331,CASE DE SANTE
