DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,KOUL,COURE DECK,1,524.0,SALLE DE CLASSE
TIVAOUANE,KOUL,COURE DECK,2,526.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,DAROU GAYE,1,522.0,CASE DE SANTE
TIVAOUANE,KOUL,DIAMA THIENDOU,1,591.0,SALLE DE CLASSE
TIVAOUANE,KOUL,KEUR MASSAMBA FATIM,1,356.0,SALLE DE CLASSE
TIVAOUANE,KOUL,KHANDANE,1,517.0,SALLE DE CLASSE 1
TIVAOUANE,KOUL,KHANDANE,2,516.0,SALLE DE CLASSE 2
TIVAOUANE,KOUL,KOUL,1,492.0,SALLE DE CLASSE 1
TIVAOUANE,KOUL,KOUL,2,492.0,SALLE DE CLASSE 2
TIVAOUANE,KOUL,MEUME OUOLOF,1,561.0,SALLE DE CLASSE 1
TIVAOUANE,KOUL,MEUME OUOLOF,2,563.0,SALLE DE CLASSE 2
TIVAOUANE,KOUL,NDAME NDIAGA,1,152.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDEUCKOU LAMANE,1,512.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDEUCKOU LAMANE,2,164.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDIAKHALANE,1,510.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDIAKHALANE,2,194.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDIAKHATE SAER,1,540.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,NDOMBOLOKH,1,441.0,SALLE DE CLASSE
TIVAOUANE,KOUL,NGADIAME,1,578.0,SALLE DE CLASSE
TIVAOUANE,KOUL,NGANDECK DAKHAR,1,298.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,NGAYE NGAYE DIABEL,1,398.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,NGUER 1,1,439.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,PAYENE,1,528.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,RISSO 1,1,544.0,SALLE DE CLASSE
TIVAOUANE,KOUL,RISSO 1,2,261.0,SALLE DE CLASSE CM2
TIVAOUANE,KOUL,SAKHE,1,287.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,SANTHIOU SINE,1,401.0,CASE DE SANTE
TIVAOUANE,KOUL,THIAR KHANDANE,1,445.0,ABRI PROVISOIRE
TIVAOUANE,KOUL,TOUBA KANE,1,563.0,CASE DE SANTE
TIVAOUANE,KOUL,TOUBA KANE,2,107.0,SALLE DE CLASSE
