DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MBAYENE,DIEMOUL OUOLOF,1,385.0,SALLE DE CLASSE
TIVAOUANE,MBAYENE,GOUYE DAGUE,1,282.0,SALLE DE CLASSE 2
TIVAOUANE,MBAYENE,KERY MBAKHOL,1,177.0,ABRI PROVISOIRE
TIVAOUANE,MBAYENE,MBAYENE,1,483.0,SALLE DE CLASSE 1
TIVAOUANE,MBAYENE,MBAYENE,2,483.0,SALLE DE CLASSE 2
TIVAOUANE,MBAYENE,NDIOURKY,1,133.0,ABRI PROVISOIRE
TIVAOUANE,MBAYENE,NGALLAP 1,1,361.0,SALLE DE CLASSE
TIVAOUANE,MBAYENE,NGALLAP 1,2,362.0,SALLE DE CLASSE
TIVAOUANE,MBAYENE,NIANDOUL,1,434.0,SALLE DE CLASSE
TIVAOUANE,MBAYENE,PARIS NDIAYE,1,202.0,SALLE DE CLASSE
TIVAOUANE,MBAYENE,SANTHIOU THIABALA,1,390.0,ABRI PROVISOIRE
TIVAOUANE,MBAYENE,THIARRE 1,1,103.0,ABRI PROVISOIRE
TIVAOUANE,MBAYENE,YOYE,1,334.0,ABRI PROVISOIRE
