DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MBORO,ECOLE DE KEUR MAGOR,1,163.0,CLASSE CE1
TIVAOUANE,MBORO,ECOLE DE KEUR MAGOR,2,166.0,CLASSE CE2
TIVAOUANE,MBORO,ECOLE DE KEUR MAGOR,3,165.0,CLASSE CM2
TIVAOUANE,MBORO,ECOLE DES HLM,1,575.0,CLASSE CI
TIVAOUANE,MBORO,ECOLE DES HLM,2,571.0,CLASSE CP
TIVAOUANE,MBORO,ECOLE DES HLM,3,569.0,CLASSE CE1
TIVAOUANE,MBORO,ECOLE DES HLM,4,565.0,CLASSE CE2
TIVAOUANE,MBORO,ECOLE DES HLM,5,527.0,ECOLE NIANI SALLE 3
TIVAOUANE,MBORO,ECOLE DES HLM,6,527.0,ECOLE NIANI SALLE 5
TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,1,564.0,CLASSE CE1 CP
TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,2,562.0,CLASSE CM2
TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,3,563.0,CLASSE CE2 CMI
TIVAOUANE,MBORO,ECOLE MBAYE MBAYE PEULH,4,561.0,SALLE CM1
TIVAOUANE,MBORO,MBORO,1,417.0,CLASSE CE1
TIVAOUANE,MBORO,MBORO,2,416.0,CLASSE CE2
TIVAOUANE,MBORO,MBORO,3,417.0,CLASSE CI
TIVAOUANE,MBORO,MBORO,4,417.0,CLASSE CP
TIVAOUANE,MBORO,MBORO,5,418.0,CLASSE DE CM1A
TIVAOUANE,MBORO,MBORO,6,416.0,CLASSE CE1A
TIVAOUANE,MBORO,MBORO,7,418.0,CLASSE CM2B
TIVAOUANE,MBORO,MBORO,8,417.0,CLASSE CE2A
TIVAOUANE,MBORO,MBORO,9,417.0,CLASSE CE2A
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,1,570.0,CLASSE TLI
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,2,574.0,SALLE 6
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,3,569.0,SALLE 17
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,4,574.0,SALLE 19
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,5,574.0,LYCEE T. ICS  SALLE 9
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,6,569.0,LYCEE T. ICS SALLE 13
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,7,574.0,LYCEE T. ICS SALLE 26
TIVAOUANE,MBORO,MBORO MBAYE MBAYE,8,570.0,LYCEE T. ICS SALLE DE CLASSE
TIVAOUANE,MBORO,MERINA GUEYE,1,375.0,ECOLE MERINA GUEYE
TIVAOUANE,MBORO,MUTUELLE,1,580.0,SALLE PRINCIPALE
TIVAOUANE,MBORO,MUTUELLE,2,577.0,ECOLE NGAYE NGAYE
TIVAOUANE,MBORO,MUTUELLE,3,577.0,ECOLE NGAYE NGAYE
TIVAOUANE,MBORO,MUTUELLE,4,565.0,ECOLE NGAYE NGAYE
TIVAOUANE,MBORO,MUTUELLE,5,168.0,ABRI PROVISOIRE
