DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MECKHE,ECOLE 1,01,521,CLASSE CE1A
TIVAOUANE,MECKHE,ECOLE 1,02,522,CLASSE CM1B
TIVAOUANE,MECKHE,ECOLE 1,03,527,SALLE DE CLASSE CE2
TIVAOUANE,MECKHE,ECOLE 1,04,464,CLASSE CM2B
TIVAOUANE,MECKHE,ECOLE 3,01,565,CLASSE CM2A
TIVAOUANE,MECKHE,ECOLE 3,02,565,CLASSE CPB
TIVAOUANE,MECKHE,ECOLE 3,03,564,CLASSE CIB
TIVAOUANE,MECKHE,ECOLE 3,04,565,CLASSE CE1A
TIVAOUANE,MECKHE,ECOLE 3,05,566,CLASSE CE2B
TIVAOUANE,MECKHE,ECOLE 3,06,565,CLASSE CM1A
TIVAOUANE,MECKHE,ECOLE 3,07,561,CLASSE CM1B
TIVAOUANE,MECKHE,ECOLE 4,01,560,CLASSE CE1A
TIVAOUANE,MECKHE,ECOLE 4,02,559,CLASSE CM2B
TIVAOUANE,MECKHE,ECOLE 4,03,556,CLASSE CE2A
TIVAOUANE,MECKHE,ECOLE 4,04,544,CLASSE CE1B
TIVAOUANE,MECKHE,ECOLE 4,05,201,SALLE DE CLASSE
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,01,588,CLASSE CM1A
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,02,586,CLASSE CE2A
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,03,587,CM2A
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,04,586,CLASSE CP
TIVAOUANE,MECKHE,ECOLE EL HADJI NDIAWAR NDIAYE,05,584,CLASSE CM2B
TIVAOUANE,MECKHE,MEKHE 5,01,553,CLASSE CPA
TIVAOUANE,MECKHE,MEKHE 5,02,550,CLASSE CM2B
TIVAOUANE,MECKHE,MEKHE 5,03,448,CLASSE CM2A
TIVAOUANE,MECKHE,MEKHE 5,04,450,CLASSE CM1B
TIVAOUANE,MECKHE,MEKHE 6,01,98,SALLE 1
TIVAOUANE,MECKHE,MEKHE 6,02,97,SALLE 2
TIVAOUANE,MECKHE,MEKHE 6,03,96,SALLE DE CLASSE 3
