DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MEOUANE,AINOUMANE,1,193.0,ECOLE ARABE AINOUMANE
TIVAOUANE,MEOUANE,DAYAMBER,1,519.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,DIAMA THIENE,1,558.0,ECOLE SALLE DE CLASSE
TIVAOUANE,MEOUANE,DIATTY MBAYE,1,374.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,GOUILLE SAMBA,1,430.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,GOUYE YETTE,1,514.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,GOUYE YETTE,2,277.0,ECOLE ELEMENTAIRE SALLE 2
TIVAOUANE,MEOUANE,KEUR KHAR DIOP,1,365.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,LEONA,1,555.0,SALLE DE CLASSE ECOLE
TIVAOUANE,MEOUANE,MASSAR,1,514.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,MBAYE DIALLO,1,148.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,MBORINE,1,558.0,SALLE DE CLASSE ECOLE
TIVAOUANE,MEOUANE,MBORINE,2,187.0,ECOLE ELEMENTAIRE SALLE 2
TIVAOUANE,MEOUANE,MBOUKHEKHE,1,437.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,MEKHE VILLAGE,1,520.0,SALLE DE CLASSE 1
TIVAOUANE,MEOUANE,MEKHE VILLAGE,2,519.0,SALLE DE CLASSE 2
TIVAOUANE,MEOUANE,MEOUANE,1,506.0,SALLE DE CLASSE 1
TIVAOUANE,MEOUANE,MEOUANE,2,510.0,SALLE DE CLASSE 2
TIVAOUANE,MEOUANE,MEOUANE,3,511.0,SALLE DE CLASSE 3
TIVAOUANE,MEOUANE,MEOUANE,4,450.0,ECOLE ELEMENTAIRE SALLE 4
TIVAOUANE,MEOUANE,NDANKHE,1,457.0,SALLE  DE CLASSE
TIVAOUANE,MEOUANE,NDEUCOU,1,423.0,CASE DE SANTE
TIVAOUANE,MEOUANE,NDIOUFFENE,1,553.0,ECOLE ARABE NDIOUFFENE
TIVAOUANE,MEOUANE,NDIOUFFENE,2,96.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,NDOMBILE,1,535.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,NDOMBILE,2,212.0,ECOLE ELEMENTAIRE SALLE 2
TIVAOUANE,MEOUANE,NDOUCOURA,1,533.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,NGAKHAM 1,1,513.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,NGAKHAM 1,2,515.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,NGAKHAM 2,1,568.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,NGAKHAM 2,2,68.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,NGUEYE NGUEYE,1,440.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,PALENE PONE,1,402.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,SANTHIOU BOUNA,1,532.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,SANTHIOU MEKHE,1,565.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,SANTHIOU MEKHE,2,111.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,SINE MOUSSA ABDOU,1,579.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,THIEUMBE,1,555.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,THIEUMBE,2,60.0,SALLE DE CLASSE
TIVAOUANE,MEOUANE,THIOKE KA,1,512.0,ECOLE ARABE
TIVAOUANE,MEOUANE,THIOKE KA,2,143.0,ECOLE ELEMENTAIRE SALLE 2
TIVAOUANE,MEOUANE,TOBENE,1,246.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,TOBENE,2,245.0,ABRI PROVISOIRE
TIVAOUANE,MEOUANE,TOUNDE THIOUNE,1,597.0,ABRI PROVISOIRE
