DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MERINA DAKHAR,BATTAL 1,1,415.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,BEUDE,1,558.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,COURE MBATTAR 1,1,542.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,DALAKH 1,1,277.0,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,DALAKH 1,2,275.0,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,DAROU SALAM,1,455.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,DIOKOUL TABBY,1,257.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,DIOKOUL TABBY,2,257.0,CM 2 ECOLE ELEMENTAIRE
TIVAOUANE,MERINA DAKHAR,ECOLE MBERE,1,153.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,GANGOU,1,351.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,GATTEIGNE,1,455.0,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,GATTEIGNE,2,454.0,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,GATTY,1,573.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,GATTY,2,45.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,KELLE,1,450.0,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,KELLE,2,450.0,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,KELLE,3,449.0,SALLE DE CLASSE 3
TIVAOUANE,MERINA DAKHAR,KEUR MEDOUNE GNING,1,422.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,KOUDIANE,1,492.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,LOYENE NIOCK,1,266.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,LOYENE YEROU,1,481.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,MACKA SARR,1,394.0,PHARMACIE VILLAGEOISE
TIVAOUANE,MERINA DAKHAR,MBALLENE,1,194.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,MERINA DAKHAR,1,510.0,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,MERINA DAKHAR,2,510.0,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,MERINA DAKHAR,3,508.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,NDER OUOLOF,1,486.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,NDIARIGNE,1,405.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,NDIASS,1,397.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,NDIAYE DIAMBANIANE,1,333.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,NGADIAGA,1,532.0,PHARMACIE VILLAGEOISE
TIVAOUANE,MERINA DAKHAR,NGUEOUL LOUTO,1,561.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,NGUEOUL LOUTO,2,137.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,NGUIGUIS MOR,1,385.0,SALLE DE CLASSE 1
TIVAOUANE,MERINA DAKHAR,NGUIGUIS MOR,2,386.0,SALLE DE CLASSE 2
TIVAOUANE,MERINA DAKHAR,SATTE 1,1,408.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,SINE LEYE KANE,1,348.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,SINE MACOUMBA,1,231.0,PHARMACIE VILLAGEOISE
TIVAOUANE,MERINA DAKHAR,TABBY,1,352.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,TELLY,1,454.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,THIAR THILOR,1,534.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,THIAR THILOR,2,151.0,SALLE DE CLASSE
TIVAOUANE,MERINA DAKHAR,THIECKERE,1,381.0,ABRI PROVISOIRE
TIVAOUANE,MERINA DAKHAR,THIENGUE,1,407.0,ABRI PROVISOIRE
