DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,MONT ROLLAND,COLOBANE THIOMBANE,1,288.0,ECOLE
TIVAOUANE,MONT ROLLAND,FLOUME,1,554.0,ECOLE
TIVAOUANE,MONT ROLLAND,FLOUME,2,553.0,ECOLE
TIVAOUANE,MONT ROLLAND,KEMAYE,1,300.0,ECOLE SALLE 1
TIVAOUANE,MONT ROLLAND,LOUKHOUSS,1,585.0,ABRI PROVISOIRE 1
TIVAOUANE,MONT ROLLAND,LOUKHOUSS,2,585.0,ABRI PROVISOIRE 2
TIVAOUANE,MONT ROLLAND,MONT ROLLAND,1,561.0,ECOLE SALLE 1
TIVAOUANE,MONT ROLLAND,MONT ROLLAND,2,562.0,ECOLE SALLE 2
TIVAOUANE,MONT ROLLAND,NDIAYE BOPP,1,561.0,ECOLE SALLE 1
TIVAOUANE,MONT ROLLAND,NDIAYE BOPP,2,567.0,ECOLE SALLE 2
TIVAOUANE,MONT ROLLAND,NDIAYE BOPP,3,444.0,ECOLE SALLE 3
TIVAOUANE,MONT ROLLAND,NGUICK FALL,1,339.0,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,NGUICK FALL,2,340.0,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,PAKHAMKOUYE 1,1,423.0,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,PAKHAMKOUYE 1,2,422.0,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,PALLO YOUGA,1,326.0,ABRI PROVISOIRE 1
TIVAOUANE,MONT ROLLAND,PALLO YOUGA,2,328.0,ABRI PROVISOIRE 2
TIVAOUANE,MONT ROLLAND,TIVIGNE DIASSA,1,568.0,ECOLE SALLE 1
TIVAOUANE,MONT ROLLAND,TIVIGNE DIASSA,2,567.0,ECOLE SALLE 2
TIVAOUANE,MONT ROLLAND,USINE S.A.E.M. DE THIAYE,1,397.0,ECOLE ELEMENTAIRE
TIVAOUANE,MONT ROLLAND,USINE S.A.E.M. DE THIAYE,2,398.0,ECOLE ELEMENTAIRE
