DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,NOTTO GOUYE DIAMA,BAITY DAKHAR,1,566.0,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,BAITY DAKHAR,2,563.0,ECOLE SALLE 2
TIVAOUANE,NOTTO GOUYE DIAMA,DAGA,1,547.0,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,DAGA,2,546.0,ECOLE SALLE 2
TIVAOUANE,NOTTO GOUYE DIAMA,DAROU ALPHA,1,574.0,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,DIEULEUCK OUOLOF,1,580.0,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,DIEULEUCK OUOLOF,2,587.0,ECOLE SALLE 2
TIVAOUANE,NOTTO GOUYE DIAMA,DIEULEUCK OUOLOF,3,74.0,SALLE DE CLASSE
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,1,539.0,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,2,543.0,ECOLE SALLE 2
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,3,538.0,ECOLE SALLE 3
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,4,540.0,ECOLE SALLE 4
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR MBIR NDAO,5,293.0,SALLE DE CLASSE
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR PATHE KHEWE,1,195.0,ECOLE SALLE 1
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR SAMBA YACINE,1,365.0,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,KEUR SAMBA YACINE,2,140.0,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,NGADIAGA,1,561.0,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,NGADIAGA,2,380.0,ECOLE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA,1,43.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA,2,43.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA,3,42.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,1,579.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,2,584.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,3,580.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,4,585.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,5,582.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,6,578.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,7,581.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,NOTTO GOUYE DIAMA 2,8,511.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,SEGUEL,1,408.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,SEGUEL,2,410.0,ECOLE ELEMENTAIRE
TIVAOUANE,NOTTO GOUYE DIAMA,THILANE TANGHOR,1,296.0,ECOLE SALLE 1
