DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,PEKESSE,BAKHDASSE 2,01,227,ABRI PROVISOIRE
TIVAOUANE,PEKESSE,DIAMATYL,01,581,SALLE DE CLASSE
TIVAOUANE,PEKESSE,DIAMATYL,02,33,SALLE DE CLASSE
TIVAOUANE,PEKESSE,ECOLE YANDAKHENE,01,495,SALLE 1
TIVAOUANE,PEKESSE,GNINGUENE,01,249,ECOLE ARABE
TIVAOUANE,PEKESSE,KEUR YAMAR,01,191,ABRI PROVISOIRE
TIVAOUANE,PEKESSE,MBAYLAR,01,403,ABRI PROVISOIRE
TIVAOUANE,PEKESSE,MBAYLAR,02,401,SECCO COOPERATIVE
TIVAOUANE,PEKESSE,MERINA DIOP,01,449,SALLE DE CLASSE
TIVAOUANE,PEKESSE,NDIOGOMAYE 1,01,494,ABRI PROVISOIRE
TIVAOUANE,PEKESSE,NDIOGOMAYE 2,01,547,SALLE DE CLASSE
TIVAOUANE,PEKESSE,NDIOGOMAYE 2,02,215,SALLE DE CLASSE CM2
TIVAOUANE,PEKESSE,NDIOUCKY PEKESSE,01,563,MAGASIN COOPERATIVE
TIVAOUANE,PEKESSE,NDIOUCKY PEKESSE,02,96,MAGASIN COOPERATIVE
TIVAOUANE,PEKESSE,NGALICK,01,593,SALLE DE CLASSE
TIVAOUANE,PEKESSE,PEKESSE,01,557,SALLE DE CLASSE 1
TIVAOUANE,PEKESSE,PEKESSE,02,559,SALLE DE CLASSE 2
TIVAOUANE,PEKESSE,PEKESSE,03,561,SALLE DE CLASSE 3
TIVAOUANE,PEKESSE,PEKESSE,04,561,SALLE DE CLASSE 4
TIVAOUANE,PEKESSE,PEKESSE,05,561,SALLE DE CLASSE 5
TIVAOUANE,PEKESSE,TAIBA NIANG,01,481,CASE FOYER SALLE 1
TIVAOUANE,PEKESSE,TAIBA NIANG,02,482,CASE FOYER SALLE 2
TIVAOUANE,PEKESSE,THIEYE THIEYE,01,574,ECOLE ARABE
TIVAOUANE,PEKESSE,THIEYE THIEYE,02,66,ECOLE ARABE
