DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,TAIBA NDIAYE,BAITTY NDIAYE,01,553,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,BAITTY NDIAYE,02,57,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,DAROU DIA,01,218,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,DJINGUE,01,477,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,ECOLE ARABE BALLE GUEYE,01,146,ECOLE ELEMENTAIRE SALLE 1
TIVAOUANE,TAIBA NDIAYE,ECOLE ELEMENTAIRE DAFE 1,01,230,ECOLE ELEMENTAIRE SALLE 1
TIVAOUANE,TAIBA NDIAYE,KEUR MADIAGNE,01,439,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,KEUR MADIAGNE,02,436,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,KEUR MAGUEYE,01,419,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,KHELCOM,01,478,ECOLE ARABE
TIVAOUANE,TAIBA NDIAYE,KHELCOM,02,224,ECOLE ELEMENTAIRE SALLE 2
TIVAOUANE,TAIBA NDIAYE,MAKA GUEYE BEYE,01,216,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,MBAYENE 3,01,561,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,MBAYENE 3,02,560,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,MBAYENE 3,03,560,ECOLE MBAYENE 3 CE2
TIVAOUANE,TAIBA NDIAYE,MINAME,01,575,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,MINAME,02,576,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,MINAME,03,125,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,NDOMOR,01,550,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,NDOMOR,02,546,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,NDOMOR,03,108,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,NGOMENE,01,326,ABRI PROVISOIRE
TIVAOUANE,TAIBA NDIAYE,TAIBA MBAYE,01,576,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,TAIBA MBAYE,02,575,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,TAIBA MBAYE,03,572,SALLE DE CLASSE 3
TIVAOUANE,TAIBA NDIAYE,TAIBA MBAYE,04,201,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,01,523,SALLE DE CLASSE 1
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,02,522,SALLE DE CLASSE 2
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,03,521,SALLE DE CLASSE 3
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,04,524,SALLE DE CLASSE 4
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,05,520,SALLE DE CLASSE 5
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,06,517,SALLE DE CLASSE CE1A
TIVAOUANE,TAIBA NDIAYE,TAIBA NDIAYE,07,521,ECOLE ELEMENTAIRE SALLE 7
TIVAOUANE,TAIBA NDIAYE,TAIBA SANTHIE,01,586,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,TAIBA SANTHIE,02,116,ECOLE ELEMENTAIRE SALLE 2
TIVAOUANE,TAIBA NDIAYE,THIALLE,01,573,SALLE DE CLASSE
TIVAOUANE,TAIBA NDIAYE,THIALLE,02,184,ECOLE ELEMENTAIRE SALLE 2
