DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,THILMAKHA,AFFIA,1,154.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,AINOUMANE,1,300.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,DIGNE,1,371.0,SALLE CLASSE
TIVAOUANE,THILMAKHA,KEUR MADIAMA,1,580.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,KEUR MADIAMA,2,23.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,KEUR MANDOUMBE,1,220.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,KEUR MANDOUMBE,2,219.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,KEUR MANIAO,1,536.0,SALLE CLASSE
TIVAOUANE,THILMAKHA,LONGHOR,1,187.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDIALBA 1,1,343.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDIAYENE WADIA,1,312.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDONGO,1,318.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDONGO,2,319.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDONGO,3,317.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,NDOUCOUMANE NDIAYE,1,499.0,SALLE CLASSE
TIVAOUANE,THILMAKHA,NGUEBEUL,1,197.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,THILMAKHA,1,535.0,SALLE CLASSE 1
TIVAOUANE,THILMAKHA,THILMAKHA,2,535.0,SALLE CLASSE 2
TIVAOUANE,THILMAKHA,THILMAKHA,3,534.0,SALLE CLASSE 3
TIVAOUANE,THILMAKHA,YEO,1,244.0,ABRI PROVISOIRE
TIVAOUANE,THILMAKHA,YOLMA,1,185.0,ABRI PROVISOIRE
