DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
TIVAOUANE,TIVAOUANE,BAITY BALLA DIA,01,176,ECOLE SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,C.D.E.P.S,01,567,ECOLE 1 SALLE DE CLASSE (EX CDEPS)
TIVAOUANE,TIVAOUANE,C.D.E.P.S,02,211,ECOLE 1 SALLE DE CLASSE (EX CDEPS)
TIVAOUANE,TIVAOUANE,ECOLE 10,01,556,CLASSE CI B
TIVAOUANE,TIVAOUANE,ECOLE 10,02,556,CLASSE CE1 B
TIVAOUANE,TIVAOUANE,ECOLE 10,03,554,CLASSE CE1 A
TIVAOUANE,TIVAOUANE,ECOLE 3,01,486,CLASSE CE2B
TIVAOUANE,TIVAOUANE,ECOLE 3,02,485,CLASSE CIA
TIVAOUANE,TIVAOUANE,ECOLE 3,03,487,CLASSE CM2A
TIVAOUANE,TIVAOUANE,ECOLE 3,04,488,CLASSE CM2 B
TIVAOUANE,TIVAOUANE,ECOLE 3,05,487,CLASSE CM1 B
TIVAOUANE,TIVAOUANE,ECOLE 4,01,576,CLASSE CM2 A
TIVAOUANE,TIVAOUANE,ECOLE 4,02,575,CLASSE CM2B
TIVAOUANE,TIVAOUANE,ECOLE 4,03,580,CLASSE CIA
TIVAOUANE,TIVAOUANE,ECOLE 4,04,569,CE2B
TIVAOUANE,TIVAOUANE,ECOLE 4,05,582,CLASSE CE1A
TIVAOUANE,TIVAOUANE,ECOLE 4,06,574,CLASSE CP
TIVAOUANE,TIVAOUANE,ECOLE 4,07,552,ECOLE 11 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 4,08,566,ECOLE 11 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 4,09,552,ECOLE 11 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 4,10,551,ECOLE 11 SALLE DE CLASSE
TIVAOUANE,TIVAOUANE,ECOLE 4,11,459,CLASSE CP B
TIVAOUANE,TIVAOUANE,ECOLE 4,12,460,ECOLE 11 SALLE DE CLASSSE
TIVAOUANE,TIVAOUANE,ECOLE 6,01,382,CLASSE CM2A
TIVAOUANE,TIVAOUANE,ECOLE 6,02,396,CLASSE CE2A
TIVAOUANE,TIVAOUANE,ECOLE 6,03,394,CLASSE CE1B
TIVAOUANE,TIVAOUANE,ECOLE 6,04,390,CLASSE CIA
TIVAOUANE,TIVAOUANE,ECOLE 6,05,353,CLASSE CPA
TIVAOUANE,TIVAOUANE,ECOLE 6,06,352,CLASSE CM1 A
TIVAOUANE,TIVAOUANE,ECOLE 6,07,355,CLASSE CE2 B
TIVAOUANE,TIVAOUANE,ECOLE 6,08,355,CLASSE CE1 A
TIVAOUANE,TIVAOUANE,ECOLE 7,01,585,CLASSE CM1A
