DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,BIGNONA,BANDIONKOTO,1,567.0,CLASSE CM1 A
BIGNONA,BIGNONA,BANDIONKOTO,2,565.0,CLASSE CE2 A
BIGNONA,BIGNONA,BANDIONKOTO,3,568.0,CLASSE CM1 B
BIGNONA,BIGNONA,BANDIONKOTO,4,569.0,BAT5 SALLE CIB
BIGNONA,BIGNONA,BANDIONKOTO,5,567.0,BAT1 SALLE CPB
BIGNONA,BIGNONA,BANDIONKOTO,6,567.0,BATIMENT 4 SALLE CM2 A
BIGNONA,BIGNONA,BASSENE,1,422.0,CLASSE CM1 A
BIGNONA,BIGNONA,BASSENE,2,424.0,CLASSE CM2 A
BIGNONA,BIGNONA,BASSENE,3,422.0,CLASSE CM2 B
BIGNONA,BIGNONA,BASSENE,4,423.0,CLASSE CI A
BIGNONA,BIGNONA,BASSENE,5,421.0,CLASSE CP B
BIGNONA,BIGNONA,BASSENE,6,421.0,CLASSE CE2 A
BIGNONA,BIGNONA,BASSENE,7,422.0,CLASSE CE1 A
BIGNONA,BIGNONA,CHATEAU D'EAU,1,549.0,BATIMENT N SALLA NO
BIGNONA,BIGNONA,CHATEAU D'EAU,2,549.0,BATIMENT C SALLE C1
BIGNONA,BIGNONA,CHATEAU D'EAU,3,550.0,BATIMENT E SALLE 01
BIGNONA,BIGNONA,CHATEAU D'EAU,4,552.0,BATIMENT F SALLE 01
BIGNONA,BIGNONA,CHATEAU D'EAU,5,548.0,SALLE DE CLASSE
BIGNONA,BIGNONA,CHATEAU D'EAU,6,550.0,BATIMENT G SALLE 2
BIGNONA,BIGNONA,KADIAMORE,1,589.0,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,2,587.0,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,3,589.0,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,4,586.0,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,KADIAMORE,5,586.0,CEM LA SORBONE SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,1,392.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,2,390.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,3,392.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,4,393.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,5,392.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,6,391.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MANGUILINE,7,391.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,1,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,2,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,3,586.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,4,584.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,5,584.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,6,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,7,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,8,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,9,585.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,10,586.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,11,589.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,12,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,13,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,14,588.0,CEM ARFAND B. SONKO SALLE DE CLASSE
BIGNONA,BIGNONA,MEDINA PLATEAU,15,585.0,CEM ARFAND B. SONKO SALLE DE CLASSE
