DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,DJIBIDIONE,BALLA BASSENE,01,370,SALLE 1 ECOLE BALLA BASSENE
BIGNONA,DJIBIDIONE,BOULAYOTTE,01,120,ECOLE BOULAYOTE SALLE DE CLASSE
BIGNONA,DJIBIDIONE,BOULINGHOYE,01,341,SALLE 1 ECOLE BOULINGHOYE
BIGNONA,DJIBIDIONE,BRINDIAGO,01,435,SALLE 1 ECOLE BRINDIAGO
BIGNONA,DJIBIDIONE,DIABOUDIOR FRONTIERE,01,173,SALLE 1 ECOLE DIABOUDIOR FRONT
BIGNONA,DJIBIDIONE,DIACOYE COMBOLI,01,245,SALLE 1 ECOLE DIACOYE COMBOLY
BIGNONA,DJIBIDIONE,DIOCADOU,01,102,SALLE 1 ECOLE DIOCADOU
BIGNONA,DJIBIDIONE,DIONDJI,01,290,SALLE 1 ECOLE DJOND
BIGNONA,DJIBIDIONE,DJIBIDIONE,01,432,ECOLE ELEMENTAIRE SALLE 1
BIGNONA,DJIBIDIONE,DJIBIDIONE,02,203,ECOLE ELEMENTAIRE SALLE 2
BIGNONA,DJIBIDIONE,DJIGOUDIERE,01,14,DJIBIDIONE BV2
BIGNONA,DJIBIDIONE,DJIRAL,01,388,SALLE 1 ECOLE
BIGNONA,DJIBIDIONE,KABOUNGOUTE,01,314,SALLE ECOLE 1 DIAKOYE COMBOLI
BIGNONA,DJIBIDIONE,MASSARA,01,323,SALLE 1 ECOLE
