DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,DJINAKI,BADIANA,01,438,CLASSE CI
BIGNONA,DJINAKI,BADIANA,02,439,CLASSE CM 2
BIGNONA,DJINAKI,BALINE,01,270,CLASSE CM 2
BIGNONA,DJINAKI,BARANLIRE,01,306,BELAYE ZONE DES PALMIERS
BIGNONA,DJINAKI,BELAYE,01,477,CLASSE CI
BIGNONA,DJINAKI,DJINAKI,01,523,CLASSE C I
BIGNONA,DJINAKI,DJINAKI,02,521,CLASSE CM 2
BIGNONA,DJINAKI,DJIOUNOUNDIE,01,161,EBINAKO
BIGNONA,DJINAKI,EBINAKO,01,525,CLASSE CI
BIGNONA,DJINAKI,EBINAKO,02,528,SALLE DE CLASSE
BIGNONA,DJINAKI,EBINKINE,01,340,CLASSE C I
BIGNONA,DJINAKI,EBINKINE,02,339,CLASSE CM 2
BIGNONA,DJINAKI,ECOLE DE BITIBITI,01,261,ECOLE EBINAKO
BIGNONA,DJINAKI,KABILINE,01,400,CLASSE C I
BIGNONA,DJINAKI,KABILINE,02,402,CLASSE C E 1
BIGNONA,DJINAKI,KABILINE,03,402,CLASSE CM 2
BIGNONA,DJINAKI,KABILINE MAMBOURO OU KAB. 2,01,550,CLASSE C I
BIGNONA,DJINAKI,KARONGUE,01,398,CLASSE CM 2
BIGNONA,DJINAKI,MAHAMOUDA CHERIF,01,475,CLASSE CI
BIGNONA,DJINAKI,TANDINE,01,379,BADIANA
BIGNONA,DJINAKI,WANGARANG,01,327,DJINAKI
