DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,KAFOUNTINE,ABENE,01,570,CLASSE CM 2
BIGNONA,KAFOUNTINE,ABENE,02,570,CLASSE CI
BIGNONA,KAFOUNTINE,ABENE,03,571,CLASSE CE 1
BIGNONA,KAFOUNTINE,ALBADAR,01,440,CLASSE CI
BIGNONA,KAFOUNTINE,ALBADAR,02,436,CLASSE CM 2
BIGNONA,KAFOUNTINE,BOUNE,01,119,CLASSE CI
BIGNONA,KAFOUNTINE,CAYLO,01,99,CLASSE CI
BIGNONA,KAFOUNTINE,COLOMBA,01,325,CLASSE CI
BIGNONA,KAFOUNTINE,COUBA,01,239,CLASSE CI
BIGNONA,KAFOUNTINE,DIANNA,01,529,CLASSE CI
BIGNONA,KAFOUNTINE,DIANNA,02,530,CLASSE CM 2
BIGNONA,KAFOUNTINE,DIANNA,03,525,CLASSE CP
BIGNONA,KAFOUNTINE,DIANNAH KABAR,01,431,CLASSE CM 2
BIGNONA,KAFOUNTINE,DIOGUE,01,343,CLASSE CI
BIGNONA,KAFOUNTINE,HAERE,01,253,CLASSE CI
BIGNONA,KAFOUNTINE,HILLOL,01,305,CLASSE CI
BIGNONA,KAFOUNTINE,HITOU,01,289,CLASSE CI
BIGNONA,KAFOUNTINE,KAFOUNTINE,01,557,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,02,553,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,03,550,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,04,549,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,05,552,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,06,542,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,07,544,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,08,546,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,09,482,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,10,481,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,11,479,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,12,531,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,13,475,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,KAFOUNTINE,14,481,CEM KAFOUNTINE SALLE DE CLASSE
BIGNONA,KAFOUNTINE,NIOMOUNE,01,368,CLASSE CI
BIGNONA,KAFOUNTINE,SALOULOU,01,302,CLASSE CI
