DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,KARTIACK,BASSIRE,01,589,CLASSE CM2
BIGNONA,KARTIACK,DIANKI,01,477,CLASSE CP2
BIGNONA,KARTIACK,DIANKI,02,476,CLASSE CE 1
BIGNONA,KARTIACK,DIANKI,03,476,CLASSE CE2 B
BIGNONA,KARTIACK,KARTIACK,01,542,CLASSE CE1
BIGNONA,KARTIACK,KARTIACK,02,539,CLASSE CE2
BIGNONA,KARTIACK,KARTIACK,03,525,CLASSE CM2
BIGNONA,KARTIACK,KARTIACK,04,352,SALLE DE CLASSE
BIGNONA,KARTIACK,THIOBON,01,581,CLASSE CE1
BIGNONA,KARTIACK,THIOBON,02,581,CLASSE CM1
BIGNONA,KARTIACK,BANDJIKAKI,01,328,CLASSE CI
BIGNONA,KARTIACK,BANDJIKAKI,02,332,SALLE DE CLASSE
BIGNONA,KARTIACK,DAROUL KHAIRY,01,457,CLASSE CI
BIGNONA,KARTIACK,DARSALAM CHERIF,01,351,CLASSE CI
BIGNONA,KARTIACK,DARSALAM CHERIF,02,349,CLASSE CM 2
BIGNONA,KARTIACK,DOMBONDIR,01,342,CLASSE CI
BIGNONA,KARTIACK,KABADIO,01,526,CLASSE CI
BIGNONA,KARTIACK,KABADIO,02,513,CLASSE CM 2
BIGNONA,KARTIACK,KABADIO,03,335,CLASSE CM2 B
BIGNONA,KARTIACK,KATABA 1,01,432,CLASSE CI
BIGNONA,KARTIACK,KATABA 1,02,191,CLASSE CM2
BIGNONA,KARTIACK,KATABA 2,01,428,CLASSE CI
BIGNONA,KARTIACK,KATACK,01,424,CLASSE CI
BIGNONA,KARTIACK,KOUBANACK,01,409,CLASSE CI
BIGNONA,KARTIACK,KOUBANACK,02,408,CLASSE CM 2
BIGNONA,KARTIACK,KOUDIOUBE,01,239,ECOLE KOUDIOUBE CLASSE CM 1
BIGNONA,KARTIACK,MACOUDA,01,339,CLASSE CI
BIGNONA,KARTIACK,MADINA DAFFE,01,383,CLASSE CM 2
BIGNONA,KARTIACK,MADINA DAFFE,02,383,SALLE DE CLASSE
BIGNONA,KARTIACK,MAHAMOUDA DIOLA,01,466,ECOLE MAHMOUDA DIOLA CLASSE CE 2
BIGNONA,KARTIACK,SAMBOULANDIANG,01,218,DARSALAM CHERIF
BIGNONA,KARTIACK,SELETI,01,583,CLASSE CM 2
BIGNONA,KARTIACK,SELETI,02,583,CLASSE CI
BIGNONA,KARTIACK,TAMBACOUNDA,01,174,CLASSE CI
BIGNONA,KARTIACK,TAMBOUILLE,01,312,CLASSE CI
BIGNONA,KARTIACK,TOUBA,01,569,CLASSE CI
BIGNONA,KARTIACK,WONIACK,01,219,ECOLE KABAKEL
