DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,OUONCK,DJINOUBOR,1,459.0,ECOLE ELEMENTAIRE CLASSE CE 1
BIGNONA,OUONCK,ECOLE ELEMENTAIRE DE BOULANDOR,1,411.0,CLASSE CM 1
BIGNONA,OUONCK,ECOLE ELEMENTAIRE DE CONGOLI,1,534.0,CLASSE C E 2
BIGNONA,OUONCK,KIGNINDING,1,512.0,ECOLE ELEMENTAIRE CLASSE CE 1
BIGNONA,OUONCK,NDIEBA,1,418.0,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,OUONCK,NDIEBA,2,416.0,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,OUONCK,OUONCK,1,520.0,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,OUONCK,OUONCK,2,520.0,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,OUONCK,SANTACK,1,224.0,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,OUONCK,SANTACK,2,224.0,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,OUONCK,SOUDA,1,367.0,ECOLE ELEMENTAIRE CLASSE CE 2
BIGNONA,OUONCK,SOUDA,2,368.0,ECOLE ELEMENTAIRE CLASSE CM 1
