DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,SINDIAN,BOUYEME,1,197.0,ECOLE SALLE 1
BIGNONA,SINDIAN,DIAGONGUE,1,379.0,ECOLE SALLE 1
BIGNONA,SINDIAN,KAGNAROU,1,362.0,ECOLE SALLE 1 BAT 1
BIGNONA,SINDIAN,KAGNAROU,2,363.0,ECOLE SALLE 1 BAT 2
BIGNONA,SINDIAN,KAKENE,1,309.0,ECOLE SALLE 1
BIGNONA,SINDIAN,KOUROUCK,1,236.0,ECOLE SALLE 1
BIGNONA,SINDIAN,MATANKIGNE,1,249.0,ECOLE SALLE 1
BIGNONA,SINDIAN,MEDIEDJE,1,548.0,ECOLE SALLE 1
BIGNONA,SINDIAN,MEDIEDJE,2,49.0,ECOLE MEDJEDJE SALLE 2
BIGNONA,SINDIAN,OUNIOCK,1,204.0,ECOLE SALLE 1
BIGNONA,SINDIAN,SILICK,1,206.0,ECOLE SALLE 1
BIGNONA,SINDIAN,SINDIAN,1,572.0,ECOLE ELEMENTAIRE 1 SALLE DE CLASSE
BIGNONA,SINDIAN,SINDIAN,2,573.0,ECOLE ELEMENTAIRE 1 SALLE DE CLASSE
BIGNONA,SINDIAN,SINDIAN,3,573.0,ECOLE ELEMENTAIRE 1 SALLE DE CLASSE
BIGNONA,SINDIAN,SINDIAN,4,575.0,ECOLE ELEMENTAIRE 1 SALLE DE CLASSE
BIGNONA,SINDIAN,SINDIAN,5,571.0,ECOLE ELEMENTAIRE 2 SALLE DE CLASSE
BIGNONA,SINDIAN,TANKORON,1,266.0,ECOLE SALLE 1
BIGNONA,SINDIAN,TENDINE,1,164.0,ECOLE SALLE 1
