DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIGNONA,TENGHORI,BADIOURE,01,312,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,BADIOURE,02,314,SALLE DE CLASSE
BIGNONA,TENGHORI,ECOLE DE DIARONE,01,227,ECOLE CLASSE CE2
BIGNONA,TENGHORI,ECOLE ELEMENTAIRE DE COUTENGHOR,01,153,CLASSE CE 1
BIGNONA,TENGHORI,ECOLE ELEMENTAIRE DE DIOUROU,01,155,CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEMENTAIRE DE EGUILAYE,01,177,CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEMENTAIRE DE TENDIEME,01,380,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEMENTAITRE DE DIAKINE,01,199,CLASSE CE 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,01,492,CLASSE CM2 A
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,02,491,CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,03,492,CLASSE CE 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,04,491,CLASSE CE 1
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,05,491,CLASSE CP 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,06,491,CLASSE CI
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 1,07,491,CLASSE CM 2 B
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 2,01,529,CLASSE CM 1
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 2,02,524,CLASSE CE 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 2,03,534,CLASSE CM 2
BIGNONA,TENGHORI,ECOLE ELEM TENGHORI TRANSGAMBIEN. 2,04,424,ECOLE TENGHORI TRANSGAMBIENNE2 CE1
BIGNONA,TENGHORI,ECOLE MATERNELLE DE KAFESSE,01,433,ECOLE MATERNELLE
BIGNONA,TENGHORI,FALMERE,01,298,ECOLE ELEMENTAIRE CLASSE CM 2
BIGNONA,TENGHORI,FALMERE,02,299,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,MANGOULE,01,525,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,MANGOULE OUBEME,01,355,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,NIASSARANG,01,174,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,PETIT COULAYE,01,351,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,PIRAN,01,232,ECOLE ELEMENTAIRE CLASSE CM 2
BIGNONA,TENGHORI,SOUTOU,01,189,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,TAO,01,180,ECOLE ELEMENTAIRE CLASSE C E 2
BIGNONA,TENGHORI,TENDIMANE,01,343,ECOLE ELEMENTAIRE CLASSE C M 1
BIGNONA,TENGHORI,TENGHORI,01,493,ECOLE ELEMENTAIRE CLASSE CM 1
BIGNONA,TENGHORI,TENGHORI,02,492,ECOLE ELEMENTAIRE CLASSE C M 2
BIGNONA,TENGHORI,TENGHORI,03,494,ECOLE ELEMENTAIRE CLASSE C E 2
BIGNONA,TENGHORI,TENGHORI,04,494,ECOLE ELEMENTAIRE CLASSE C E 1
