DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
OUSSOUYE,DIEMBERING,BOUCOTTE DIOLA,1,358.0,CLASSE CI
OUSSOUYE,DIEMBERING,BOUCOTTE OUOLOF,1,470.0,CLASSE CM1 B
OUSSOUYE,DIEMBERING,BOUCOTTE OUOLOF,2,469.0,CLASSE CM1 B
OUSSOUYE,DIEMBERING,BOUCOTTE OUOLOF,3,470.0,CLASSE CE1 B
OUSSOUYE,DIEMBERING,BOUYOUYE,1,207.0,CLASSE CPB
OUSSOUYE,DIEMBERING,CABROUSSE,1,571.0,CLASSE CE 1A
OUSSOUYE,DIEMBERING,CABROUSSE,2,571.0,CLASSE CM2B ECOLE NIALOU
OUSSOUYE,DIEMBERING,CABROUSSE,3,568.0,CLASSE CM1A ECOLE RADIAKAYE
OUSSOUYE,DIEMBERING,CABROUSSE,4,568.0,CLASSE SECONDE LC
OUSSOUYE,DIEMBERING,CABROUSSE,5,567.0,CLASSE 4EA CEM MOSSOR
OUSSOUYE,DIEMBERING,CABROUSSE,6,569.0,CLASSE 6EB CEM MOSSOR
OUSSOUYE,DIEMBERING,CACHOUANE,1,169.0,CLASSE CM2
OUSSOUYE,DIEMBERING,CAP SKIRRING,1,563.0,CM2 B
OUSSOUYE,DIEMBERING,CAP SKIRRING,2,565.0,CM1 B
OUSSOUYE,DIEMBERING,CAP SKIRRING,3,564.0,CE2 A
OUSSOUYE,DIEMBERING,CAP SKIRRING,4,565.0,CLASSE CM2 A
OUSSOUYE,DIEMBERING,CAP SKIRRING,5,565.0,CE1 A
OUSSOUYE,DIEMBERING,CAP SKIRRING,6,566.0,CP A
OUSSOUYE,DIEMBERING,CAP SKIRRING,7,565.0,CI B
OUSSOUYE,DIEMBERING,CARABANE,1,365.0,CLASSE CM2A
OUSSOUYE,DIEMBERING,DIEMBERING,1,479.0,CLASSE CM2A
OUSSOUYE,DIEMBERING,DIEMBERING,2,474.0,CE 1 B
OUSSOUYE,DIEMBERING,DIEMBERING,3,475.0,CLASSE CM1A
OUSSOUYE,DIEMBERING,DIEMBERING,4,476.0,CE 2 A
OUSSOUYE,DIEMBERING,GNIKINE,1,96.0,ABRI PROVISOIRE
OUSSOUYE,DIEMBERING,OURONG,1,263.0,CLASSE CE1A
OUSSOUYE,DIEMBERING,WENDAYE,1,304.0,CLASSE CE1A
