DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
OUSSOUYE,OUKOUT,BOUKITINGHO,01,541,CLASSE CM2 ECOLE BOUKITINGHO
OUSSOUYE,OUKOUT,CAROUNATE,01,411,ECOLE SALLE DE CLASSE CM1
OUSSOUYE,OUKOUT,DIAKENE DIOLA,01,388,ECOLE DIAKENE CLASSE CE2
OUSSOUYE,OUKOUT,DIAKENE OUOLOF,01,414,ECOLE DIAKENE OUOLOF CLASSE CI
OUSSOUYE,OUKOUT,DIANTENE,01,234,ECOLE DIANTENE CLASSE CE1
OUSSOUYE,OUKOUT,DJIVENTE,01,522,ECOLE DJIVENTE CLASSE CM2
OUSSOUYE,OUKOUT,EDIOUNGOU,01,581,ECOLE EDIOUNGOU CLASSE CM1
OUSSOUYE,OUKOUT,ELOUBALINE,01,160,ECOLE ELOUBALINE CLASSE CE2
OUSSOUYE,OUKOUT,EMAYE,01,409,ECOLE EMAYE CLASSE CE2
OUSSOUYE,OUKOUT,KAHINDA,01,203,CASE DES TOUT-PETITS KAHINDA
OUSSOUYE,OUKOUT,NIAMBALANG,01,367,ECOLE NIAMBALANG CLASSE CE2
OUSSOUYE,OUKOUT,OUKOUT MADIOP,01,379,ECOLE OUKOUT MADIOP CLASSE CM1
OUSSOUYE,OUKOUT,OUKOUT MADIOP,02,377,SALLE DE CLASSE
OUSSOUYE,OUKOUT,SENGHALENE,01,285,ECOLE SENGHALENE CLASSE CE1
OUSSOUYE,OUKOUT,SIGANAR,01,486,ECOLE SIGANAR CLASSE CE2
OUSSOUYE,OUKOUT,SIGANAR,02,487,ECOLE SIGANAR CLASSE CP
