REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,BIGNONA,BALINGORE,BAGAYA,1,545.0,CLASSE CE2
ZIGUINCHOR,BIGNONA,BALINGORE,ECOLE BALEVE,1,550.0,CLASSE CM1
ZIGUINCHOR,BIGNONA,BALINGORE,ECOLE DE DJIROKIR,1,252.0,CLASSE CP2
ZIGUINCHOR,BIGNONA,BALINGORE,ECOLE DE DJIROKIR,2,253.0,CLASSE CM2
ZIGUINCHOR,BIGNONA,BALINGORE,ECOLE ETEKOM,1,253.0,CLASSE CI
ZIGUINCHOR,BIGNONA,BALINGORE,FOYER DES JEUNES,1,352.0,ECOLE MATERNELLE DE BALINGORE
ZIGUINCHOR,BIGNONA,BALINGORE,MANDEGANE,1,402.0,SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BALINGORE,MANDEGANE,2,403.0,CLASSE DE CM2
ZIGUINCHOR,BIGNONA,BALINGORE,MANDEGANE,3,399.0,CLASSE CM 1
ZIGUINCHOR,BIGNONA,BIGNONA,BANDIONKOTO,1,567.0,CLASSE CM1 A
ZIGUINCHOR,BIGNONA,BIGNONA,BANDIONKOTO,2,565.0,CLASSE CE2 A
ZIGUINCHOR,BIGNONA,BIGNONA,BANDIONKOTO,3,568.0,CLASSE CM1 B
ZIGUINCHOR,BIGNONA,BIGNONA,BANDIONKOTO,4,569.0,BAT5 SALLE CIB
ZIGUINCHOR,BIGNONA,BIGNONA,BANDIONKOTO,5,567.0,BAT1 SALLE CPB
ZIGUINCHOR,BIGNONA,BIGNONA,BANDIONKOTO,6,567.0,BATIMENT 4 SALLE CM2 A
ZIGUINCHOR,BIGNONA,BIGNONA,BASSENE,1,422.0,CLASSE CM1 A
ZIGUINCHOR,BIGNONA,BIGNONA,BASSENE,2,424.0,CLASSE CM2 A
ZIGUINCHOR,BIGNONA,BIGNONA,BASSENE,3,422.0,CLASSE CM2 B
ZIGUINCHOR,BIGNONA,BIGNONA,BASSENE,4,423.0,CLASSE CI A
ZIGUINCHOR,BIGNONA,BIGNONA,BASSENE,5,421.0,CLASSE CP B
ZIGUINCHOR,BIGNONA,BIGNONA,BASSENE,6,421.0,CLASSE CE2 A
ZIGUINCHOR,BIGNONA,BIGNONA,BASSENE,7,422.0,CLASSE CE1 A
ZIGUINCHOR,BIGNONA,BIGNONA,CHATEAU D'EAU,1,549.0,BATIMENT N SALLA NO
ZIGUINCHOR,BIGNONA,BIGNONA,CHATEAU D'EAU,2,549.0,BATIMENT C SALLE C1
ZIGUINCHOR,BIGNONA,BIGNONA,CHATEAU D'EAU,3,550.0,BATIMENT E SALLE 01
ZIGUINCHOR,BIGNONA,BIGNONA,CHATEAU D'EAU,4,552.0,BATIMENT F SALLE 01
ZIGUINCHOR,BIGNONA,BIGNONA,CHATEAU D'EAU,5,548.0,SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,CHATEAU D'EAU,6,550.0,BATIMENT G SALLE 2
ZIGUINCHOR,BIGNONA,BIGNONA,KADIAMORE,1,589.0,CEM LA SORBONE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,KADIAMORE,2,587.0,CEM LA SORBONE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,KADIAMORE,3,589.0,CEM LA SORBONE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,KADIAMORE,4,586.0,CEM LA SORBONE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,KADIAMORE,5,586.0,CEM LA SORBONE SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MANGUILINE,1,392.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MANGUILINE,2,390.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MANGUILINE,3,392.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MANGUILINE,4,393.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MANGUILINE,5,392.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MANGUILINE,6,391.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MANGUILINE,7,391.0,ECOLE KOULAYE SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,1,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,2,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,3,586.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,4,584.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,5,584.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,6,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,7,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,8,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,9,585.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,10,586.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,11,589.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,12,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,13,587.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,14,588.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,BIGNONA,MEDINA PLATEAU,15,585.0,CEM ARFAND B. SONKO SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,COUBALAN,BOURECK,1,319.0,ECOLE ELEMENTAIRE CLASSE CM 1
ZIGUINCHOR,BIGNONA,COUBALAN,BOURECK,2,319.0,ECOLE ELEMENTAIRE CLASSE CE 2
ZIGUINCHOR,BIGNONA,COUBALAN,C. E. M.  DE COUBANAO,1,517.0,SALLE 8 BATIMENT A
ZIGUINCHOR,BIGNONA,COUBALAN,C. E. M.  DE COUBANAO,2,516.0,SALLE 10 BATIMENT C
ZIGUINCHOR,BIGNONA,COUBALAN,C. E. M.  DE COUBANAO,3,516.0,13 BATIMENT D
ZIGUINCHOR,BIGNONA,COUBALAN,DJIGUINOUM,1,533.0,ECOLE ELEMENTAIRE CLASSE CE 1
ZIGUINCHOR,BIGNONA,COUBALAN,DJILACOUNE,1,456.0,ECOELE ELEMENTAIRE CLASSE CE 2
ZIGUINCHOR,BIGNONA,COUBALAN,ECOLE ELEMENTAIRE DE BOULINDIENG,1,240.0,CLASSE CM 1
ZIGUINCHOR,BIGNONA,COUBALAN,ECOLE ELEMENTAIRE DE HATHIOUNE,1,475.0,CLASSE CE 2
ZIGUINCHOR,BIGNONA,COUBALAN,ECOLE PRESCOLAIRE DE COUBALAN,1,494.0,CLASSE GS
ZIGUINCHOR,BIGNONA,COUBALAN,ECOLE PRESCOLAIRE DE COUBALAN,2,481.0,CLASSE MS
ZIGUINCHOR,BIGNONA,COUBALAN,ECOLE PRESCOLAIRE DE COUBALAN,3,228.0,ECOLE ELEMENTAIRE COUBALAN CM2
ZIGUINCHOR,BIGNONA,COUBALAN,FINTHIOCK,1,405.0,ECOLE ELEMENTAIRE CLASSE CE 1
ZIGUINCHOR,BIGNONA,COUBALAN,FINTHIOCK,2,409.0,SALLE DE CLASSE
ZIGUINCHOR,BIGNONA,COUBALAN,NIANDANE,1,399.0,ECOLE ELEMENTAIRE CLASSE CE 2
ZIGUINCHOR,BIGNONA,DIEGOUNE,DIEGOUNE ECOLE 1,1,374.0,CLASSE DE CP2
