DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,ADEANE,BAGHAGHA,01,513,CLASSE CP1
ZIGUINCHOR,ADEANE,BAGHAGHA,02,513,CLASSE CE1
ZIGUINCHOR,ADEANE,BAGHAGHA,03,511,CLASSE CM1
ZIGUINCHOR,ADEANE,DIAGNON,01,372,SALLE DE CLASSE
ZIGUINCHOR,ADEANE,DIAGNON,02,370,SALLE DE CLASSE
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE D ADEANE,01,574,CLASSE C I
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE D ADEANE,02,574,CLASSE CE1
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE D ADEANE,03,576,CLASSE CE2
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE D ADEANE,04,575,CLASSE CM1
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE D ADEANE,05,573,SALLE DE CLASSE
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE DE AGNACK PETIT,01,467,CLASSE CP1
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE DE AGNACK PETIT,02,466,CLASSE CM1
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE DE AGNACK PETIT,03,467,CLASSE CE2
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE DE GONOUM,01,289,SALLE DE CLASSE
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE DE SINDONE,01,413,CLASSE CE1
ZIGUINCHOR,ADEANE,ECOLE ELEMENTAIRE DE SINDONE,02,413,CLASSE CE2
ZIGUINCHOR,ADEANE,KOUNDIOUNDOU,01,275,SALLE DE CLASSE
ZIGUINCHOR,ADEANE,TAMBACOUMBA,01,362,CLASSE CE1
ZIGUINCHOR,ADEANE,TAMBACOUMBA,02,362,SALLE DE CLASSE
