DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,NIASSIA,C.E.M. DIALANG,1,359.0,SALLE DE CLASSE
ZIGUINCHOR,NIASSIA,C.E.M. DIALANG,2,360.0,SALLE DE CLASSE
ZIGUINCHOR,NIASSIA,C.E.M. DIALANG,3,359.0,SALLE DE CLASSE
ZIGUINCHOR,NIASSIA,DARSALAM,1,482.0,CLASSE CE 1
ZIGUINCHOR,NIASSIA,ECOLE DE BOFFA BAYOT,1,330.0,SALLE DE CLASSE
ZIGUINCHOR,NIASSIA,ECOLE ELEMENTAIRE DE TOUBACOUTA,1,293.0,CLASSE CM 1
ZIGUINCHOR,NIASSIA,ECOLE ELEMENTAIRE DE TOUBACOUTA,2,174.0,SALLE DE CLASSE
ZIGUINCHOR,NIASSIA,ECOLE MATERNELLE DE KALEANN,1,225.0,SALLE DE CLASSE
ZIGUINCHOR,NIASSIA,KAGUITTE,1,499.0,CLASSE CI
ZIGUINCHOR,NIASSIA,KAGUITTE,2,501.0,CLASSE CM 2
ZIGUINCHOR,NIASSIA,KAGUITTE,3,498.0,SALLE DE CLASSE
ZIGUINCHOR,NIASSIA,NIASSIA,1,475.0,CLASSE CI
ZIGUINCHOR,NIASSIA,NIASSIA,2,475.0,CLASSE CM 2
ZIGUINCHOR,NIASSIA,NIASSIA,3,474.0,CLASSE CM 1
