DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,1,555.0,CLASSE CE1 B
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,2,556.0,CLASSE CE2 A
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,3,557.0,CLASSE CM2 B
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,4,558.0,CLASSE CM1 A
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,5,556.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,6,556.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,7,556.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,8,557.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,9,558.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,10,559.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,11,560.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,BLOC SCOLAIRE DE BOUCOTTE OUEST,12,560.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,1,573.0,CLASSE 3B
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,2,567.0,CLASSE 4E
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,3,578.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,4,569.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,5,573.0,SALLE DE CLASSE
ZIGUINCHOR,ZIGUINCHOR,CEM DE KANDE SIBINCK,6,224.0,SALLE DE CLASSE
